Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-6-7
Year//Month,2018//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2018//1//1,1,07::40:25,16::48:59,12::14:30,3.498,12.901,1.195,3.158,1.425,3.177,-,-,0.164,3.1630000000000003,0.593,3.161,1.03,3.162,0.341,177.224,12.39,5.481,0.013402777777777779,0.24,-0.2,5.93,-,-,-0.0108,0.0073,0.,0.,-,-,0.,0.,-0.028200000000000003,0.023100000000000002,-
2018//1//2,2,07::40:27,16::49:37,12::14:58,3.515,12.9,1.443,3.16,1.842,3.178,-,-,0.38,3.161,1.01,3.16,1.063,3.161,2.845,23.825,17.266000000000002,4.447,0.0817361111111111,0.87,-0.74,6.26,-,-,-0.0287,0.020800000000000003,0.,0.,-,-,0.,0.,-0.0575,0.0434,-
2018//1//3,3,07::40:28,16::50:23,12::15:26,3.533,12.9,1.04,3.161,1.111,3.177,-,-,0.046,3.128,0.12,3.1470000000000002,0.995,3.162,-1.026,-55.718,9.591000000000001,6.908,0.35149305555555554,3.56,1.34,15.290000000000001,-,-,-0.0346,0.030500000000000003,0.,0.,-,-,0.,0.,-0.0671,0.0533,-
2018//1//4,4,07::40:28,16::51:21,12::15:53,3.553,12.9,1.2590000000000001,3.16,1.481,3.177,-,-,0.184,3.1630000000000003,0.551,3.158,1.075,3.161,0.706,94.854,13.189,5.609,2.5875,5.53,4.88,15.59,-,-,-0.0398,0.027600000000000003,0.,0.,-,-,0.,0.,-0.0742,0.0516,-
2018//1//5,5,07::40:25,16::52:39,12::16:20,3.5740000000000003,12.901,0.858,3.161,0.871,3.177,-,-,0.015,3.132,0.059000000000000004,3.144,0.844,3.162,-2.463,-23.873,6.05,11.744,0.6918750000000001,3.0500000000000003,6.79,14.41,-,-,-0.031,0.0173,0.,0.,-,-,0.,0.,-0.0613,0.0393,-
2018//1//6,6,07::40:20,16::53:46,12::16:46,3.597,13.02,1.766,3.158,2.611,3.177,-,-,1.125,3.1590000000000003,2.875,3.1590000000000003,0.641,3.16,6.357,9.764,25.04,3.263,0.10194444444444443,1.16,0.15,9.57,-,-,-0.0194,0.0097,0.,0.,-,-,0.,0.,-0.0461,0.0332,-
2018//1//7,7,07::40:14,16::54:29,12::17:12,3.621,13.022,1.145,3.158,1.183,3.178,-,-,0.031,3.1750000000000003,0.11800000000000001,3.1510000000000002,1.113,3.1630000000000003,-0.757,-91.7,10.096,7.765000000000001,0.0346875,0.76,-1.09,5.09,-,-,-0.004200000000000001,0.0049,0.,0.,-,-,0.,0.,-0.0128,0.0195,-
2018//1//8,8,07::40:05,16::55:20,12::17:37,3.646,13.025,0.917,3.1590000000000003,1.102,3.176,-,-,0.161,3.1550000000000002,0.424,3.16,0.756,3.166,-1.343,-39.526,8.91,7.357,2.3305555555555557,5.73,-0.31,12.9,-,-,-0.016900000000000002,0.0171,0.,0.,-,-,0.,0.,-0.0383,0.041,-
2018//1//9,9,07::39:54,16::56:25,12::18:02,3.673,13.029,0.686,3.1590000000000003,0.657,3.176,-,-,0.005,3.341,0.014,3.205,0.68,3.169,-3.4370000000000003,-10.692,4.587,11.216000000000001,0.3626388888888889,3.2600000000000002,3.81,12.870000000000001,-,-,-0.0257,0.0151,0.,0.,-,-,0.,0.,-0.050100000000000006,0.0328,-
2018//1//10,10,07::39:41,16::57:52,12::18:26,3.701,13.033,1.325,3.1590000000000003,1.352,3.178,-,-,0.058,3.154,0.14200000000000002,3.162,1.2670000000000001,3.162,0.365,158.858,12.41,5.6160000000000005,0.07538194444444443,1.19,2.06,6.140000000000001,-,-,-0.009000000000000001,0.0059,0.,0.,-,-,0.,0.,-0.0204,0.0205,-
2018//1//11,11,07::39:25,16::58:57,12::18:50,3.73,13.156,1.7610000000000001,3.1590000000000003,2.341,3.177,-,-,0.743,3.158,2.233,3.1590000000000003,1.018,3.164,5.033,12.981,21.645,3.697,0.41107638888888887,2.91,4.11,16.13,-,-,-0.0207,0.0177,0.,0.,-,-,0.,0.,-0.0487,0.0446,-
2018//1//12,12,07::39:05,16::59:46,12::19:13,3.761,13.163,2.178,3.16,3.121,3.177,-,-,1.078,3.158,2.895,3.1590000000000003,1.101,3.161,9.024000000000001,8.054,30.767,2.902,0.19447916666666665,1.9000000000000001,1.31,11.33,-,-,-0.024,0.0173,0.,0.,-,-,0.,0.,-0.0543,0.0379,-
2018//1//13,13,07::38:40,17::00:47,12::19:36,3.793,13.171000000000001,2.454,3.158,3.798,3.177,-,-,1.772,3.1590000000000003,5.2700000000000005,3.1590000000000003,0.681,3.164,11.578,6.207,35.581,2.682,0.4638541666666667,3.46,-0.53,16.87,-,-,-0.013800000000000002,0.0167,0.,0.,-,-,0.,0.,-0.033800000000000004,0.041800000000000004,-
2018//1//14,14,07::38:09,17::02:10,12::19:57,3.826,13.182,1.474,3.16,1.841,3.177,-,-,0.326,3.1630000000000003,1.202,3.1590000000000003,1.1480000000000001,3.161,2.1,32.278,15.379,4.812,2.1919444444444443,5.16,6.19,19.2,-,-,-0.056400000000000006,0.02,0.,0.,-,-,0.,0.,-0.0975,0.037700000000000004,-
2018//1//15,15,07::37:30,17::03:39,12::20:19,3.861,13.196,1.3840000000000001,3.1590000000000003,1.68,3.177,-,-,0.292,3.162,0.735,3.16,1.092,3.16,1.423,44.765,14.841000000000001,5.2410000000000005,2.8149305555555557,5.58,9.26,18.22,-,-,-0.0585,0.0262,0.,0.,-,-,0.,0.,-0.09040000000000001,0.0393,-
2018//1//16,16,07::36:53,17::04:29,12::20:39,3.8970000000000002,13.312000000000001,1.564,3.1590000000000003,1.818,3.177,-,-,0.244,3.162,0.835,3.16,1.32,3.16,2.195,33.857,16.25,5.035,0.3950694444444444,3.37,4.99,10.52,-,-,-0.0159,0.0132,0.,0.,-,-,0.,0.,-0.0287,0.0263,-
2018//1//17,17,07::36:18,17::05:29,12::20:59,3.934,13.338000000000001,2.069,3.1590000000000003,2.8120000000000003,3.177,-,-,0.931,3.158,2.403,3.1590000000000003,1.1380000000000001,3.1630000000000003,6.916,10.037,25.184,3.364,2.920555555555556,6.68,4.69,18.23,-,-,-0.0205,0.022000000000000002,0.,0.,-,-,0.,0.,-0.039900000000000005,0.041,-
2018//1//18,18,07::35:55,17::06:49,12::21:18,3.972,13.345,0.748,3.161,0.719,3.176,-,-,0.019,3.186,0.044,3.144,0.729,3.168,-3.089,-13.748000000000001,5.215,9.135,0.3581944444444444,3.12,1.98,12.11,-,-,-0.0216,0.0213,0.,0.,-,-,0.,0.,-0.0442,0.040400000000000005,-
2018//1//19,19,07::35:29,17::08:27,12::21:36,4.011,13.353,1.538,3.1590000000000003,1.889,3.177,-,-,0.525,3.157,1.5,3.1590000000000003,1.0130000000000001,3.164,2.873,22.740000000000002,16.965,4.562,0.1398611111111111,1.94,0.84,6.88,-,-,-0.008400000000000001,0.0076,0.,0.,-,-,0.,0.,-0.0213,0.0245,-
2018//1//20,20,07::34:59,17::09:22,12::21:54,4.0520000000000005,13.48,2.1,3.1590000000000003,3.132,3.177,-,-,1.45,3.1590000000000003,3.97,3.1590000000000003,0.649,3.166,9.057,7.755,29.842000000000002,2.992,0.09916666666666667,1.1500000000000001,-0.73,9.13,-,-,-0.0134,0.0149,0.,0.,-,-,0.,0.,-0.028900000000000002,0.0335,-
2018//1//21,21,07::34:23,17::10:23,12::22:11,4.094,13.492,1.197,3.1590000000000003,1.24,3.176,-,-,0.039,3.129,0.122,3.17,1.158,3.162,-0.462,-137.879,10.61,6.9270000000000005,2.738263888888889,5.76,-0.01,8.22,-,-,-0.009300000000000001,0.010700000000000001,0.,0.,-,-,0.,0.,-0.022000000000000002,0.0238,-
2018//1//22,22,07::33:38,17::11:44,12::22:27,4.138,13.507,2.686,3.16,3.8810000000000002,3.177,-,-,1.833,3.1590000000000003,4.534,3.1590000000000003,0.853,3.1630000000000003,12.950000000000001,5.739,38.106,2.853,0.2054513888888889,1.94,-0.09,8.21,-,-,-0.0177,0.015000000000000001,0.,0.,-,-,0.,0.,-0.0441,0.0381,-
2018//1//23,23,07::32:38,17::13:25,12::22:42,4.182,13.527000000000001,2.253,3.1590000000000003,3.003,3.177,-,-,1.086,3.16,2.674,3.1590000000000003,1.166,3.1630000000000003,8.242,7.9270000000000005,29.168,3.369,1.4214236111111112,5.75,0.6,12.67,-,-,-0.0179,0.0177,0.,0.,-,-,0.,0.,-0.036500000000000005,0.0356,-
2018//1//24,24,07::31:38,17::14:22,12::22:57,4.228,13.645,0.661,3.16,0.62,3.1790000000000003,-,-,0.,100,0.006,2.973,0.661,3.162,-3.916,-8.759,3.178,17.731,1.1872916666666669,4.1,-0.54,9.64,-,-,-0.0195,0.010100000000000001,0.,0.,-,-,0.,0.,-0.041100000000000005,0.029300000000000003,-
2018//1//25,25,07::30:59,17::15:25,12::23:10,4.274,13.678,1.6440000000000001,3.16,2.043,3.178,-,-,0.43,3.156,1.058,3.16,1.215,3.162,3.5300000000000002,20.127,19.419,4.024,0.46079861111111103,3.7,-1.12,7.82,-,-,-0.0114,0.0112,0.,0.,-,-,0.,0.,-0.025400000000000002,0.033,-
2018//1//26,26,07::30:22,17::16:50,12::23:23,4.322,13.689,2.095,3.1590000000000003,2.733,3.177,-,-,0.8220000000000001,3.1590000000000003,2.406,3.1590000000000003,1.2730000000000001,3.161,6.934,10.718,25.894000000000002,3.382,0.6852083333333333,4.21,-0.48,8.71,-,-,-0.0112,0.0098,0.,0.,-,-,0.,0.,-0.0227,0.0236,-
2018//1//27,27,07::29:38,17::18:33,12::23:35,4.371,13.703,1.671,3.16,1.8860000000000001,3.177,-,-,0.222,3.162,0.541,3.162,1.449,3.1630000000000003,2.842,24.425,18.222,4.486,0.6382986111111111,5.2,3.5300000000000002,10.76,-,-,-0.028800000000000003,0.019200000000000002,0.,0.,-,-,0.,0.,-0.0563,0.0413,-
2018//1//28,28,07::28:43,17::19:27,12::23:47,4.421,13.839,2.562,3.16,3.517,3.177,-,-,1.464,3.16,3.285,3.1590000000000003,1.098,3.1630000000000003,11.385,6.456,35.79,2.935,0.19499999999999998,1.3,2.9,12.09,-,-,-0.033,0.0189,0.,0.,-,-,0.,0.,-0.065,0.0425,-
2018//1//29,29,07::27:27,17::20:33,12::23:57,4.472,13.864,1.873,3.16,2.216,3.177,-,-,0.391,3.16,0.903,3.1590000000000003,1.482,3.162,4.507,15.946,21.137,4.097,0.25111111111111106,1.87,4.08,12.11,-,-,-0.028200000000000003,0.0261,0.,0.,-,-,0.,0.,-0.057300000000000004,0.051000000000000004,-
2018//1//30,30,07::26:19,17::22:03,12::24:07,4.524,13.888,0.557,3.1630000000000003,0.525,3.176,-,-,0.,100,0.001,3.1510000000000002,0.557,3.17,-4.336,-5.65,2.588,15.778,0.10267361111111112,1.55,4.5600000000000005,8.93,-,-,-0.0244,0.0134,0.,0.,-,-,0.,0.,-0.0533,0.034800000000000005,-
2018//1//31,31,07::25:37,17::23:40,12::24:16,4.577,14.017,2.176,3.16,2.715,3.177,-,-,0.626,3.16,1.749,3.16,1.55,3.162,6.779,11.324,26.566,3.488,0.23479166666666668,2.31,0.68,9.27,-,-,-0.0188,0.0102,0.,0.,-,-,0.,0.,-0.040100000000000004,0.0281,-
2018//2//1,32,07::24:48,17::24:36,12::24:24,4.631,14.033,2.3040000000000003,3.1590000000000003,3.037,3.177,-,-,0.811,3.16,2.318,3.1590000000000003,1.493,3.16,8.231,9.227,28.438,3.027,0.12270833333333335,0.89,3.08,14.23,-,-,-0.0159,0.014400000000000001,0.,0.,-,-,0.,0.,-0.0335,0.031900000000000005,-
2018//2//2,33,07::23:45,17::25:45,12::24:31,4.686,14.053,3.1470000000000002,3.1590000000000003,4.713,3.177,-,-,2.606,3.1590000000000003,6.44,3.1590000000000003,0.541,3.161,16.002,4.746,44.808,2.571,0.3295486111111111,2.24,5.93,18.72,-,-,-0.028800000000000003,0.0263,0.,0.,-,-,0.,0.,-0.0482,0.046900000000000004,-
2018//2//3,34,07::22:18,17::27:21,12::24:37,4.742,14.078000000000001,3.056,3.1590000000000003,4.405,3.177,-,-,2.2520000000000002,3.158,5.222,3.1590000000000003,0.805,3.161,14.843,5.172,42.62,2.629,0.22649305555555557,1.32,3.75,17.11,-,-,-0.0287,0.0193,0.,0.,-,-,0.,0.,-0.053000000000000005,0.0403,-
2018//2//4,35,07::21:09,17::28:48,12::24:43,4.799,14.222,2.902,3.16,4.082,3.177,-,-,1.875,3.1590000000000003,4.925,3.1590000000000003,1.028,3.1590000000000003,12.891,6.018,38.591,2.724,0.17628472222222225,1.8800000000000001,3.43,16.73,-,-,-0.0252,0.024200000000000003,0.,0.,-,-,0.,0.,-0.046200000000000005,0.042100000000000005,-
2018//2//5,36,07::20:19,17::29:46,12::24:48,4.857,14.237,2.949,3.207,4.2170000000000005,3.177,-,-,2.196,3.215,4.925,3.208,0.753,3.1630000000000003,14.327,4.9590000000000005,41.562,2.591,0.3343055555555556,1.92,1.97,15.120000000000001,-,-,-0.031,0.0318,0.,0.,-,-,0.,0.,-0.056100000000000004,0.049800000000000004,-
2018//2//6,37,07::19:18,17::30:58,12::24:52,4.915,14.256,3.322,3.4410000000000003,4.958,3.177,-,-,2.6750000000000003,3.371,6.354,3.537,0.648,3.1590000000000003,17.602,4.593,48.728,2.56,0.18770833333333334,1.4000000000000001,-0.98,15.21,-,-,-0.0218,0.015000000000000001,0.,0.,-,-,0.,0.,-0.0448,0.0364,-
2018//2//7,38,07::17:53,17::32:39,12::24:55,4.9750000000000005,14.284,3.273,3.267,5.021,3.177,-,-,2.713,3.249,6.507000000000001,3.358,0.56,3.16,17.377,4.465,48.07,2.531,0.2136111111111111,1.22,-0.01,15.48,-,-,-0.0194,0.0206,0.,0.,-,-,0.,0.,-0.0379,0.038900000000000004,-
2018//2//8,39,07::16:21,17::33:57,12::24:57,5.035,14.432,3.226,3.1590000000000003,4.564,3.177,-,-,2.0460000000000003,3.1590000000000003,4.662,3.1590000000000003,1.18,3.161,15.621,5.123,45.041000000000004,2.6550000000000002,0.20281249999999998,1.56,1.71,17.28,-,-,-0.026000000000000002,0.0184,0.,0.,-,-,0.,0.,-0.051300000000000005,0.041600000000000005,-
2018//2//9,40,07::15:29,17::34:55,12::24:59,5.096,14.448,3.347,3.16,4.839,3.177,-,-,2.4130000000000003,3.1590000000000003,5.7330000000000005,3.1590000000000003,0.934,3.164,16.939,4.773,46.611000000000004,2.516,0.34802083333333333,1.95,0.46,15.610000000000001,-,-,-0.029500000000000002,0.028800000000000003,0.,0.,-,-,0.,0.,-0.0575,0.048,-
2018//2//10,41,07::14:24,17::36:10,12::25:00,5.158,14.468,3.47,3.1590000000000003,5.029,3.177,-,-,2.536,3.158,5.953,3.1590000000000003,0.934,3.1630000000000003,17.243000000000002,4.547,48.929,2.582,0.852638888888889,4.21,-0.68,12.99,-,-,-0.0187,0.0193,0.,0.,-,-,0.,0.,-0.034,0.036000000000000004,-
2018//2//11,42,07::12:54,17::37:53,12::25:00,5.221,14.497,1.45,3.1590000000000003,1.5090000000000001,3.178,-,-,0.07,3.137,0.165,3.152,1.3800000000000001,3.1630000000000003,0.894,78.561,13.851,5.5600000000000005,0.37635416666666666,2.9,-2.5100000000000002,5.03,-,-,-0.0098,0.0064,0.,0.,-,-,0.,0.,-0.023200000000000002,0.022000000000000002,-
2018//2//12,43,07::11:18,17::39:04,12::24:59,5.284,14.646,3.749,3.1590000000000003,5.4030000000000005,3.177,-,-,3.078,3.1590000000000003,6.907,3.1590000000000003,0.671,3.162,19.633,4.118,53.204,2.491,0.4217708333333333,2.07,-1.72,8.83,-,-,-0.0223,0.019200000000000002,0.,0.,-,-,0.,0.,-0.046400000000000004,0.0368,-
2018//2//13,44,07::10:21,17::40:04,12::24:58,5.348,14.662,3.8770000000000002,3.283,5.672,3.189,-,-,3.44,3.794,7.988,3.6430000000000002,0.437,3.649,21.237000000000002,3.807,55.958,2.483,1.5327777777777778,5.32,-2.94,15.13,-,-,-0.027700000000000002,0.0234,0.,0.,-,-,0.,0.,-0.057300000000000004,0.0455,-
2018//2//14,45,07::09:08,17::41:20,12::24:55,5.413,14.685,1.0030000000000001,3.162,0.992,3.177,-,-,0.023,3.105,0.051000000000000004,3.138,0.981,3.165,-1.943,-26.900000000000002,7.745,8.873,0.3062847222222222,1.96,-0.92,7.73,-,-,-0.008400000000000001,0.0079,0.,0.,-,-,0.,0.,-0.0201,0.0239,-
2018//2//15,46,07::07:23,17::43:03,12::24:52,5.478,14.717,3.991,3.656,5.702,3.177,-,-,3.489,3.632,8.051,3.8970000000000002,0.502,3.1630000000000003,21.504,3.874,56.545,2.471,0.28347222222222224,1.57,-2.23,8.540000000000001,-,-,-0.022500000000000003,0.014,0.,0.,-,-,0.,0.,-0.048100000000000004,0.0352,-
2018//2//16,47,07::06:00,17::44:09,12::24:49,5.5440000000000005,14.862,2.836,3.1590000000000003,3.529,3.177,-,-,1.043,3.16,2.801,3.1590000000000003,1.792,3.161,10.86,7.67,36.19,2.975,0.1297810218978102,1.44,-3.41,10.36,-,-,-0.0347,0.021400000000000002,0.,0.,-,-,0.,0.,-0.0663,0.0413,-
2018//2//17,48,07::04:55,17::45:09,12::24:45,5.611,14.882,2.134,3.1590000000000003,2.444,3.176,-,-,0.47600000000000003,3.161,0.9580000000000001,3.158,1.657,3.1630000000000003,5.551,15.153,23.143,4.083,0.5285436893203883,1.76,-0.65,12.99,-,-,-0.0408,0.029500000000000002,0.,0.,-,-,0.,0.,-0.07050000000000001,0.0438,-
2018//2//18,49,07::03:28,17::46:27,12::24:39,5.678,14.909,1.804,3.1590000000000003,1.883,3.177,-,-,0.12,3.162,0.28800000000000003,3.162,1.684,3.161,2.948,23.824,18.152,4.708,0.9948611111111111,3.95,-1.36,7.07,-,-,-0.028900000000000002,0.014700000000000001,0.,0.,-,-,0.,0.,-0.0514,0.0324,-
2018//2//19,50,07::01:31,17::48:09,12::24:34,5.746,14.925,1.973,3.1590000000000003,2.078,3.177,-,-,0.20500000000000002,3.1510000000000002,0.594,3.1590000000000003,1.768,3.162,3.7030000000000003,21.172,18.255,4.553,0.6361458333333334,2.46,-4.12,2.47,-,-,-0.0217,0.0161,0.,0.,-,-,0.,0.,-0.044000000000000004,0.033,-
2018//2//20,51,07::00:27,17::49:11,12::24:27,5.814,15.082,2.8970000000000002,3.1590000000000003,3.438,3.177,-,-,0.791,3.16,1.6260000000000001,3.1590000000000003,2.106,3.16,10.96,7.675,35.022,2.975,0.23083333333333333,1.21,-3.68,6.69,-,-,-0.0236,0.020800000000000003,0.,0.,-,-,0.,0.,-0.0424,0.040100000000000004,-
2018//2//21,52,06::59:09,17::50:11,12::24:20,5.883,15.106,2.073,3.16,2.191,3.176,-,-,0.187,3.156,0.389,3.157,1.8860000000000001,3.162,4.569,15.729000000000001,21.806,3.995,0.5873958333333333,2.17,-0.73,5.59,-,-,-0.0526,0.0332,0.,0.,-,-,0.,0.,-0.0855,0.0551,-
2018//2//22,53,06::57:14,17::51:28,12::24:13,5.952,15.138,2.395,3.162,2.637,3.177,-,-,0.834,3.16,1.559,3.158,1.561,3.168,-3.314,-8.379,3.85,10.818,0.5720138888888889,2.22,-1.68,3.1,-,-,-0.0426,0.021,0.,0.,-,-,0.,0.,-0.08070000000000001,0.0482,-
2018//2//23,54,06::55:50,17::53:09,12::24:04,6.021,15.169,4.317,3.1590000000000003,5.823,3.177,-,-,3.378,3.1590000000000003,7.059,3.1590000000000003,0.9390000000000001,3.1630000000000003,22.268,3.814,58.144,2.573,0.35381944444444446,1.82,-3.7600000000000002,4.49,-,-,-0.028,0.0154,0.,0.,-,-,0.,0.,-0.05,0.027600000000000003,-
2018//2//24,55,06::54:36,17::54:10,12::23:56,6.091,15.307,2.001,3.16,2.1390000000000002,3.178,-,-,0.43,3.16,0.8220000000000001,3.161,1.571,3.162,4.022,16.655,19.956,4.344,0.6336111111111111,4.04,-0.54,6.97,-,-,-0.030000000000000002,0.014700000000000001,0.,0.,-,-,0.,0.,-0.0555,0.0316,-
2018//2//25,56,06::52:49,17::55:09,12::23:46,6.162,15.341000000000001,2.672,3.16,3.065,3.177,-,-,0.64,3.158,1.326,3.16,2.032,3.1630000000000003,8.667,9.988,30.461000000000002,3.52,0.5441319444444445,2.2800000000000002,-0.46,9.55,-,-,-0.0449,0.0296,0.,0.,-,-,0.,0.,-0.0713,0.0442,-
2018//2//26,57,06::51:06,17::56:24,12::23:36,6.2330000000000005,15.374,3.759,3.1590000000000003,4.261,3.177,-,-,2.06,3.1590000000000003,3.987,3.1590000000000003,1.699,3.162,2.693,16.982,13.895,4.5040000000000004,0.42291666666666666,1.82,-2.56,5.38,-,-,-0.0562,0.0252,0.,0.,-,-,0.,0.,-0.0912,0.0426,-
