YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2020//1//19,19,07::35:36,17::07:40,12::21:27,3.974,13.362,2.069,3.125,2.861,3.362,0.935,3.126,2.491,3.125,1.133,3.1550000000000002,2.939,23.397000000000002,26.133,3.327,0.947951388888889,5.3,-0.53,13.9,-0.0297,0.017,0.,0.,0.,0.,-0.2044,0.1427,-
2020//1//20,20,07::34:59,17::08:54,12::21:45,4.014,13.407,1.248,3.1270000000000002,1.377,3.363,0.124,3.113,0.402,3.1270000000000002,1.125,3.15,-2.485,-18.404,10.712,6.235,1.745638888888889,6.140000000000001,2.17,13.89,-0.026600000000000002,0.016900000000000002,0.,0.,0.,0.,-0.1905,0.15130000000000002,-
2020//1//21,21,07::34:20,17::10:08,12::22:02,4.055,13.451,1.022,3.1270000000000002,1.116,3.362,0.066,3.103,0.157,3.132,0.9570000000000001,3.165,-2.9250000000000003,-16.92,8.855,7.189,0.7903680555555558,6.51,1.52,9.93,-0.0362,0.0165,0.,0.,0.,0.,-0.18330000000000002,0.1401,-
2020//1//22,22,07::33:39,17::11:22,12::22:19,4.098,13.472,1.236,3.1270000000000002,1.294,3.362,0.068,3.112,0.151,3.133,1.169,3.164,-2.321,-19.141000000000002,10.886000000000001,6.502,0.087125,1.82,1.53,8.03,-0.031900000000000005,0.0074,0.,0.,0.,0.,-0.2916,0.07680000000000001,-
2020//1//23,23,07::32:55,17::12:37,12::22:34,4.141,13.540000000000001,1.68,3.1270000000000002,2.156,3.364,0.541,3.125,1.2730000000000001,3.124,1.139,3.1710000000000003,0.662,91.536,19.917,4.178,0.9458124999999998,5.74,1.31,14.02,-0.0199,0.016300000000000002,0.,0.,0.,0.,-0.16790000000000002,0.1531,-
2020//1//24,24,07::32:10,17::13:53,12::22:49,4.186,13.584,1.838,3.125,2.34,3.378,0.419,3.125,1.115,3.126,1.419,3.146,1.034,67.766,20.998,3.854,0.35929166666666673,4.09,4.68,13.59,-0.0264,0.0207,0.,0.,0.,0.,-0.2106,0.18580000000000002,-
2020//1//25,25,07::31:23,17::15:10,12::23:03,4.232,13.627,0.854,3.125,0.891,3.4290000000000003,0.016,3.196,0.053,3.142,0.837,3.176,-3.932,-9.471,5.154,12.679,0.8159583333333333,4.78,6.11,13.4,-0.008700000000000001,0.0145,0.,0.,0.,0.,-0.0596,0.10840000000000001,-
2020//1//26,26,07::30:34,17::16:25,12::23:17,4.279,13.648,2.327,3.125,3.281,3.362,1.202,3.124,2.688,3.124,1.125,3.164,4.377,14.292,30.754,3.077,0.22826388888888893,2.34,6.96,13.26,-0.0244,0.016,0.,0.,0.,0.,-0.17,0.1466,-
2020//1//27,27,07::29:42,17::17:42,12::23:29,4.327,13.715,1.05,3.128,1.066,3.4330000000000003,0.03,3.168,0.076,3.119,1.02,3.1630000000000003,-3.414,-12.63,6.724,10.950000000000001,0.6886736111111111,5.3100000000000005,4.34,12.51,-0.0066,0.0094,0.,0.,0.,0.,-0.023,0.0434,-
2020//1//28,28,07::28:49,17::19:00,12::23:41,4.376,13.758000000000001,2.05,3.126,2.6590000000000003,3.3890000000000002,0.6940000000000001,3.124,1.786,3.125,1.356,3.149,2.182,29.867,24.158,3.3080000000000003,0.5133333333333334,3.17,2.34,12.15,-0.0166,0.0148,0.,0.,0.,0.,-0.035,0.047400000000000005,-
2020//1//29,29,07::27:53,17::20:17,12::23:52,4.426,13.801,1.018,3.125,1.025,3.362,0.005,3.078,0.01,3.085,1.0130000000000001,3.16,-3.466,-11.781,7.596,8.838000000000001,0.12624999999999997,2.06,1.81,9.83,-0.0143,0.014400000000000001,0.,0.,0.,0.,-0.1037,0.1272,-
2020//1//30,30,07::26:56,17::21:34,12::24:02,4.478,13.867,1.578,3.126,2.626,3.3930000000000002,0.6900000000000001,3.126,1.577,3.125,0.888,3.168,2.311,26.080000000000002,24.132,3.46,0.1731875,3.17,5.65,11.72,-0.0369,0.0076,0.,0.,0.,0.,-0.3305,0.0187,-
2020//1//31,31,07::25:58,17::22:53,12::24:11,4.53,13.91,2.938,3.125,4.41,3.3770000000000002,2.208,3.125,5.329,3.125,0.73,3.164,7.963,9.394,39.939,2.586,0.27814583333333337,2.5,4.2700000000000005,12.41,-0.032,0.0132,0.,0.,0.,0.,-0.21980000000000002,0.1328,-
2020//2//1,32,07::24:57,17::24:11,12::24:20,4.583,13.953,1.689,3.125,2.063,3.363,0.41600000000000004,3.122,0.885,3.126,1.2730000000000001,3.1310000000000002,0.313,186.816,19.038,3.963,0.3140486111111111,2.89,2.82,11.120000000000001,-0.0397,0.026000000000000002,0.,0.,0.,0.,-0.3345,0.2364,-
2020//2//2,33,07::23:55,17::25:28,12::24:27,4.638,14.019,2.396,3.125,3.299,3.362,1.206,3.125,2.636,3.125,1.19,3.132,4.721,12.836,31.523,3.3280000000000003,0.4728819444444445,3.25,0.14,5.8500000000000005,-0.0697,0.028200000000000003,0.,0.,0.,0.,-0.6058,0.2685,-
2020//2//3,34,07::22:51,17::26:47,12::24:34,4.6930000000000005,14.061,2.182,3.125,2.7960000000000003,3.362,0.852,3.1270000000000002,2.071,3.125,1.329,3.128,2.9130000000000003,22.26,22.394000000000002,3.795,0.33492361111111113,2.46,-3.4,4.89,-0.0323,0.013000000000000001,0.,0.,0.,0.,-0.2525,0.1379,-
2020//2//4,35,07::21:45,17::28:05,12::24:40,4.749,14.104000000000001,2.367,3.125,2.9,3.362,0.681,3.123,1.9020000000000001,3.126,1.686,3.128,3.036,25.232,26.941,3.3770000000000002,0.2063680555555556,2.11,-5.17,3.66,-0.0177,0.0162,0.,0.,0.,0.,-0.1497,0.1432,-
2020//2//5,36,07::20:38,17::29:23,12::24:45,4.806,14.146,1.2790000000000001,3.125,1.317,3.361,0.002,2.45,0.006,3.196,1.2770000000000001,3.1310000000000002,-2.187,-25.467000000000002,11.501,6.476,0.14054166666666668,1.9100000000000001,1.49,6.98,-0.020200000000000003,0.0196,0.,0.,0.,0.,-0.16160000000000002,0.15510000000000002,-
2020//2//6,37,07::19:30,17::30:41,12::24:50,4.864,14.234,0.772,3.124,0.873,3.36,0.,100,0.,100,0.772,3.1310000000000002,-3.9650000000000003,-10.916,4.865,15.074,0.04876388888888888,0.92,3.47,7.96,-0.046200000000000005,0.014100000000000001,0.,0.,0.,0.,-0.3798,0.0907,-
2020//2//7,38,07::18:19,17::32:00,12::24:53,4.923,14.276,2.486,3.126,3.355,3.362,1.235,3.124,2.7960000000000003,3.125,1.252,3.1270000000000002,4.62,14.813,30.668,2.998,0.15285416666666662,1.75,1.1300000000000001,12.05,-0.0386,0.0233,0.,0.,0.,0.,-0.2439,0.192,-
2020//2//8,39,07::17:06,17::33:18,12::24:56,4.982,14.318,2.183,3.125,2.793,3.362,0.877,3.1270000000000002,2.052,3.125,1.306,3.126,2.585,24.895,26.148,3.601,0.713576388888889,3.39,2.2600000000000002,7.92,-0.0166,0.014,0.,0.,0.,0.,-0.11170000000000001,0.11610000000000001,-
2020//2//9,40,07::15:53,17::34:35,12::24:58,5.043,14.382,3.408,3.1510000000000002,4.956,3.362,2.783,3.1510000000000002,6.578,3.172,0.625,3.128,9.697000000000001,7.849,46.117000000000004,2.599,0.26140277777777776,2.09,-3.04,7.91,-0.024900000000000002,0.019700000000000002,0.,0.,0.,0.,-0.1615,0.13820000000000002,-
2020//2//10,41,07::14:38,17::35:53,12::24:59,5.104,14.424,3.521,3.125,5.183,3.362,3.0500000000000003,3.125,7.222,3.125,0.47100000000000003,3.13,10.514,7.2700000000000005,47.957,2.523,0.18664583333333332,2.2,-3.54,11.28,-0.006500000000000001,0.010100000000000001,0.,0.,0.,0.,-0.0252,0.048,-
2020//2//11,42,07::13:22,17::37:11,12::25:00,5.166,14.488,3.606,3.125,5.261,3.362,3.077,3.125,7.239,3.125,0.53,3.128,10.56,7.301,48.241,2.587,0.2707083333333334,2.67,-2.34,13.58,-0.01,0.0143,0.,0.,0.,0.,-0.0223,0.042,-
2020//2//12,43,07::12:04,17::38:27,12::24:59,5.229,14.552,3.5780000000000003,3.125,5.189,3.362,2.88,3.125,6.644,3.125,0.6980000000000001,3.129,10.109,7.707,47.909,2.574,0.26877777777777784,1.93,-2.14,12.65,-0.0126,0.0158,0.,0.,0.,0.,-0.0337,0.0514,-
2020//2//13,44,07::10:45,17::39:45,12::24:58,5.292,14.593,3.306,3.261,4.712,3.3890000000000002,2.591,3.2600000000000002,5.69,3.438,0.715,3.126,8.553,8.269,44.963,2.704,0.5039305555555557,3.0500000000000003,-2.41,12.83,-0.0048000000000000004,0.008,0.,0.,0.,0.,-0.0149,0.0344,-
2020//2//14,45,07::09:25,17::41:03,12::24:56,5.356,14.657,2.977,3.125,4.07,3.362,1.814,3.125,3.6790000000000003,3.125,1.163,3.128,6.791,11.424,38.725,2.927,0.46395833333333325,2.37,2.71,10.15,-0.0051,0.008700000000000001,0.,0.,0.,0.,-0.020900000000000002,0.0432,-
2020//2//15,46,07::08:03,17::42:19,12::24:54,5.421,14.698,1.45,3.125,1.498,3.363,0.009000000000000001,3.257,0.017,3.069,1.44,3.129,-1.758,-36.513,12.946,6.226,0.1647361111111111,2.0300000000000002,0.72,9.78,-0.0046,0.0083,0.,0.,0.,0.,-0.0164,0.0383,-
2020//2//16,47,07::06:40,17::43:35,12::24:50,5.486,14.761000000000001,2.035,3.125,2.465,3.362,0.463,3.122,1.197,3.124,1.572,3.13,1.575,42.207,21.717,3.918,0.1956527777777778,2.36,0.8200000000000001,11.23,-0.0204,0.0219,0.,0.,0.,0.,-0.1583,0.15810000000000002,-
2020//2//17,48,07::05:17,17::44:53,12::24:47,5.5520000000000005,14.825000000000001,3.376,3.125,4.671,3.362,2.54,3.126,5.249,3.125,0.835,3.1310000000000002,8.88,8.939,43.566,2.757,0.17602083333333332,2.4,-1.72,10.16,-0.0309,0.015000000000000001,0.,0.,0.,0.,-0.2034,0.14350000000000002,-
2020//2//18,49,07::03:51,17::46:09,12::24:42,5.619,14.865,3.963,3.327,5.613,3.362,3.359,3.303,7.605,3.517,0.605,3.1270000000000002,11.916,6.8950000000000005,52.681000000000004,2.5220000000000002,0.3822430555555556,2.2600000000000002,-5.11,11.67,-0.0137,0.0164,0.,0.,0.,0.,-0.0356,0.053500000000000006,-
2020//2//19,50,07::02:26,17::47:24,12::24:36,5.686,14.951,4.097,3.125,5.765,3.362,3.512,3.125,7.803,3.125,0.585,3.128,12.019,6.904,53.5,2.525,1.7682152777777778,6.04,-1.81,16.01,-0.0108,0.015700000000000002,0.,0.,0.,0.,-0.025,0.0426,-
2020//2//20,51,07::00:57,17::48:40,12::24:30,5.7540000000000004,14.991,2.801,3.125,3.369,3.362,0.666,3.123,1.343,3.126,2.1350000000000002,3.126,4.182,18.591,31.883,3.081,0.9801666666666669,5.22,2.14,15.81,-0.020200000000000003,0.021400000000000002,0.,0.,0.,0.,-0.0378,0.051800000000000006,-
2020//2//21,52,06::59:30,17::49:56,12::24:24,5.822,15.053,4.0920000000000005,3.13,5.699,3.362,3.448,3.13,7.497,3.1310000000000002,0.644,3.1270000000000002,11.613,7.37,52.352000000000004,2.5340000000000003,0.2914444444444445,2.07,-2.0100000000000002,16.34,-0.021400000000000002,0.0171,0.,0.,0.,0.,-0.0454,0.051800000000000006,-
2020//2//22,53,06::57:59,17::51:11,12::24:16,5.891,15.093,4.175,3.125,5.771,3.362,3.478,3.125,7.477,3.125,0.6970000000000001,3.128,11.734,7.183,53.236000000000004,2.571,0.3493333333333334,2.47,-1.08,16.73,-0.024300000000000002,0.0187,0.,0.,0.,0.,-0.0485,0.0545,-
2020//2//23,54,06::56:31,17::52:24,12::24:08,5.96,15.179,3.371,3.125,4.454,3.362,2.308,3.125,4.335,3.125,1.063,3.13,7.796,9.156,42.133,2.705,0.8538680555555557,4.09,0.84,15.44,-0.0129,0.0131,0.,0.,0.,0.,-0.0368,0.056100000000000004,-
2020//2//24,55,06::54:58,17::53:39,12::24:00,6.029,15.218,4.237,3.125,5.799,3.362,3.573,3.125,7.549,3.125,0.664,3.129,12.01,7.1530000000000005,54.532000000000004,2.513,0.38204861111111116,2.13,-1.16,11.94,-0.0135,0.0131,0.,0.,0.,0.,-0.0349,0.0492,-
2020//2//25,56,06::53:27,17::54:54,12::23:51,6.099,15.280000000000001,4.197,3.125,5.676,3.362,3.1270000000000002,3.125,6.572,3.125,1.07,3.126,11.193,7.603,52.622,2.543,0.2499444444444445,2.09,-2.7800000000000002,15.790000000000001,-0.013600000000000001,0.0135,0.,0.,0.,0.,-0.0362,0.0526,-
2020//2//26,57,06::51:53,17::56:08,12::23:41,6.1690000000000005,15.319,4.366,3.125,5.974,3.362,3.681,3.125,7.734,3.125,0.685,3.129,12.174,7.0440000000000005,54.893,2.511,0.36774999999999997,2.29,-0.87,17.57,-0.0148,0.0154,0.,0.,0.,0.,-0.0337,0.0482,-
2020//2//27,58,06::50:20,17::57:20,12::23:31,6.24,15.381,4.4350000000000005,3.208,6.048,3.362,3.806,3.198,7.929,3.306,0.629,3.1270000000000002,12.152000000000001,6.9350000000000005,55.028,2.495,0.2569444444444444,1.77,-1.1500000000000001,18.19,-0.013600000000000001,0.013900000000000001,0.,0.,0.,0.,-0.029300000000000003,0.0429,-
2020//2//28,59,06::48:44,17::58:33,12::23:20,6.311,15.443,3.8280000000000003,3.125,4.91,3.362,2.039,3.125,3.9410000000000003,3.125,1.7890000000000001,3.126,8.686,9.853,46.481,2.695,0.42910416666666673,3.18,-0.12,18.39,-0.0118,0.0145,0.,0.,0.,0.,-0.030100000000000002,0.047900000000000005,-
