Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2000.6668374316941,245.0625,2000-09-01--01:30:00,124.35263,27.788980000000002,0,0.,1.35,12,0.38,72,0.38,12,1.35,72,10.92,11,-5.01,11,0.47000000000000003,11,-
2000.6668469186402,245.0659722222222,2000-09-01--01:35:00,123.92120000000001,29.190890000000003,0,0.,1.52,12,0.42,72,0.42,12,1.52,72,11.06,11,-4.84,11,0.51,11,-
2000.666856405586,245.06944444444443,2000-09-01--01:40:00,123.47050000000002,30.576750000000004,0,0.,1.01,12,0.28,72,0.28,12,1.01,72,11.07,11,-5.3500000000000005,11,0.37,11,-
2000.666865892532,245.07291666666666,2000-09-01--01:45:00,123.00101000000001,31.94628,0,0.,1.7,12,0.1,72,0.1,12,1.7,72,10.99,11,-4.66,11,0.19,11,-
2000.666875379478,245.07638888888889,2000-09-01--01:50:00,122.51323000000001,33.2993,0,0.,1.68,12,0.11,72,0.11,12,1.68,72,11.05,11,-4.68,11,0.2,11,-
2000.666884866424,245.0798611111111,2000-09-01--01:55:00,122.00765000000001,34.63566,0,0.,0.45,12,-0.05,72,-0.05,12,0.45,72,10.93,11,-5.91,11,0.04,11,-
2000.66689435337,245.08333333333331,2000-09-01--02:00:00,121.48476000000001,35.95525,0,0.,-0.51,12,-0.5,72,-0.5,12,-0.51,72,10.48,11,-6.87,11,-0.41000000000000003,11,-
2000.6669038403159,245.08680555555554,2000-09-01--02:05:00,120.94505000000001,37.258050000000004,0,0.,-1.75,12,-0.53,72,-0.53,12,-1.75,72,10.290000000000001,11,-8.11,11,-0.44,11,-
2000.666913327262,245.09027777777777,2000-09-01--02:10:00,120.38901000000001,38.544050000000006,0,0.,-1.82,12,-0.66,72,-0.66,12,-1.82,72,10.06,11,-8.18,11,-0.5700000000000001,11,-
2000.6669228142077,245.09375,2000-09-01--02:15:00,119.81715000000001,39.813300000000005,0,0.,-1.68,12,-0.37,72,-0.37,12,-1.68,72,10.01,11,-8.040000000000001,11,-0.28,11,-
2000.6669323011538,245.0972222222222,2000-09-01--02:20:00,119.22993000000001,41.06588,0,0.,-1.56,12,0.18,72,0.18,12,-1.56,72,10.28,11,-7.92,11,0.27,11,-
2000.6669417880998,245.10069444444443,2000-09-01--02:25:00,118.62785000000001,42.30192,0,0.,-0.87,12,0.16,72,0.16,12,-0.87,72,10.4,11,-7.23,11,0.25,11,-
2000.6669512750457,245.10416666666666,2000-09-01--02:30:00,118.01137000000001,43.52159,0,0.,-0.22,12,-0.23,72,-0.23,12,-0.22,72,10.19,11,-6.58,11,-0.14,11,-
2000.6669607619917,245.10763888888889,2000-09-01--02:35:00,117.38096000000002,44.725060000000006,0,0.,-0.42,12,-0.1,72,-0.1,12,-0.42,72,10.15,11,-6.78,11,-0.01,11,-
2000.6669702489376,245.1111111111111,2000-09-01--02:40:00,116.73709000000001,45.91257,0,0.,-0.91,12,0.04,72,0.04,12,-0.91,72,10.39,11,-7.2700000000000005,11,0.13,11,-
2000.6669797358836,245.11458333333331,2000-09-01--02:45:00,116.0802,47.084360000000004,0,0.,-0.64,12,-0.34,72,-0.34,12,-0.64,72,10.06,11,-7.,11,-0.25,11,-
2000.6669892228297,245.11805555555554,2000-09-01--02:50:00,115.41074,48.240700000000004,0,0.,0.29,12,-0.73,72,-0.73,12,0.29,72,9.56,11,-6.07,11,-0.64,11,-
2000.6669987097755,245.12152777777777,2000-09-01--02:55:00,114.72913000000001,49.38188,0,0.,1.31,12,-0.51,72,-0.51,12,1.31,72,9.44,11,-5.05,11,-0.42,11,-
2000.6670081967216,245.125,2000-09-01--03:00:00,114.03582000000002,50.508210000000005,0,0.,1.47,12,-0.48,72,-0.48,12,1.47,72,9.47,11,-4.89,11,-0.39,11,-
2000.6670176836674,245.1284722222222,2000-09-01--03:05:00,113.33120000000001,51.620020000000004,0,0.,0.28,12,-0.48,72,-0.48,12,0.28,72,9.38,11,-6.08,11,-0.39,11,-
2000.6670271706134,245.13194444444443,2000-09-01--03:10:00,112.61569000000001,52.71766,0,0.,-0.33,12,-0.29,72,-0.29,12,-0.33,72,9.370000000000001,11,-6.69,11,-0.2,11,-
2000.6670366575595,245.13541666666666,2000-09-01--03:15:00,111.88968000000001,53.801480000000005,0,0.,-0.31,12,0.02,72,0.02,12,-0.31,72,9.53,11,-6.67,11,0.11,11,-
2000.6670461445053,245.13888888888889,2000-09-01--03:20:00,111.15356000000001,54.87185,0,0.,-0.34,12,0.21,72,0.21,12,-0.34,72,9.68,11,-6.7,11,0.3,11,-
2000.6670556314514,245.1423611111111,2000-09-01--03:25:00,110.4077,55.92913000000001,0,0.,-0.36,12,0.29,72,0.29,12,-0.36,72,9.84,11,-6.72,11,0.38,11,-
2000.6670651183972,245.14583333333331,2000-09-01--03:30:00,109.65246,56.97373,0,0.,-0.33,12,0.1,72,0.1,12,-0.33,72,9.85,11,-6.69,11,0.19,11,-
2000.6670746053433,245.14930555555554,2000-09-01--03:35:00,108.88820000000001,58.00602000000001,0,0.,-1.57,12,0.09,72,0.09,12,-1.57,72,9.92,11,-7.930000000000001,11,0.18,11,-
2000.667084092289,245.15277777777777,2000-09-01--03:40:00,108.11527000000001,59.026410000000006,0,0.,-0.89,12,0.23,72,0.23,12,-0.89,72,9.97,11,-7.25,11,0.32,11,-
2000.6670935792351,245.15625,2000-09-01--03:45:00,107.33399000000001,60.03530000000001,0,0.,-0.44,12,0.09,72,0.09,12,-0.44,72,9.97,11,-6.8,11,0.18,11,-
2000.6671030661812,245.1597222222222,2000-09-01--03:50:00,106.5447,61.03309000000001,0,0.,-0.63,12,-0.03,72,-0.03,12,-0.63,72,9.93,11,-6.99,11,0.06,11,-
2000.667112553127,245.16319444444443,2000-09-01--03:55:00,105.74769,62.02019000000001,0,0.,-1.16,12,-0.03,72,-0.03,12,-1.16,72,10.09,11,-7.5200000000000005,11,0.06,11,-
2000.667122040073,245.16666666666666,2000-09-01--04:00:00,104.94326000000001,62.99701,0,0.,-3.66,12,-0.02,72,-0.02,12,-3.66,72,10.16,11,-10.02,11,0.07,11,-
2000.667131527019,245.17013888888889,2000-09-01--04:05:00,104.13171000000001,63.96396000000001,0,0.,-6.51,12,-1.18,72,-1.18,12,-6.51,72,9.84,11,-12.870000000000001,11,-1.09,11,-
2000.667141013965,245.1736111111111,2000-09-01--04:10:00,103.31331000000002,64.92146000000001,0,0.,-5.5600000000000005,12,-0.14,72,-0.14,12,-5.5600000000000005,72,9.36,11,-11.92,11,-0.05,11,-
2000.667150500911,245.17708333333331,2000-09-01--04:15:00,102.48832,65.86991,0,0.,-4.0600000000000005,12,-0.11,72,-0.11,12,-4.0600000000000005,72,9.25,11,-10.42,11,-0.02,11,-
2000.6671599878568,245.18055555555554,2000-09-01--04:20:00,101.65697000000002,66.80973,0,0.,-3.93,12,-0.1,72,-0.1,12,-3.93,72,9.25,11,-10.290000000000001,11,-0.01,11,-
2000.667169474803,245.18402777777777,2000-09-01--04:25:00,100.81948000000001,67.74133,0,0.,-2.92,12,0.1,72,0.1,12,-2.92,72,9.21,11,-9.28,11,0.19,11,-
2000.6671789617487,245.1875,2000-09-01--04:30:00,99.97606,68.66512,0,0.,-2.84,12,0.21,72,0.21,12,-2.84,72,9.08,11,-9.200000000000001,11,0.3,11,-
2000.6671884486948,245.1909722222222,2000-09-01--04:35:00,99.12685,69.58151000000001,0,0.,-2.5500000000000003,12,0.44,72,0.44,12,-2.5500000000000003,72,8.99,11,-8.91,11,0.53,11,-
2000.6671979356408,245.19444444444443,2000-09-01--04:40:00,98.27196,70.49091,0,0.,-2.23,12,0.4,72,0.4,12,-2.23,72,8.94,11,-8.59,11,0.49,11,-
2000.6672074225867,245.19791666666666,2000-09-01--04:45:00,97.41142,71.39374000000001,0,0.,-1.6,12,0.39,72,0.39,12,-1.6,72,8.99,11,-7.96,11,0.48,11,-
2000.6672169095327,245.20138888888889,2000-09-01--04:50:00,96.54514,72.2904,0,0.,-0.72,12,0.16,72,0.16,12,-0.72,72,8.88,11,-7.08,11,0.25,11,-
2000.6672263964786,245.2048611111111,2000-09-01--04:55:00,95.67280000000001,73.18129,0,0.,-0.54,12,0.25,72,0.25,12,-0.54,72,8.950000000000001,11,-6.9,11,0.34,11,-
2000.6672358834246,245.20833333333331,2000-09-01--05:00:00,94.79369000000001,74.06683000000001,0,0.,0.04,12,0.19,72,0.19,12,0.04,72,8.99,11,-6.32,11,0.28,11,-
2000.6672453703707,245.21180555555554,2000-09-01--05:05:00,93.90624000000001,74.94741,0,0.,-0.18,12,0.13,72,0.13,12,-0.18,72,8.84,11,-6.54,11,0.22,11,-
