YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2000//2//7,38,07::06:21,17::14:19,12::10:13,4.715,14.204,1.928,6.351,0.383,3.618,0.836,3.092,1.545,7.8100000000000005,-2.61,7.79,-4.744000000000001,0.7237,-0.16390000000000002,0.4055,-
2000//2//8,39,07::05:28,17::15:26,12::10:15,4.775,14.219,1.127,10.607000000000001,0.063,8.671,0.209,4.316,1.064,11.235,-1.94,7.47,-5.0296,0.9256000000000001,-0.16740000000000002,0.49520000000000003,-
2000//2//9,40,07::04:22,17::16:58,12::10:18,4.836,14.24,3.072,4.289,2.101,2.798,4.969,2.75,0.971,12.311,-2.02,12.02,-5.3783,0.9168000000000001,-0.22110000000000002,0.43460000000000004,-
2000//2//10,41,07::02:49,17::18:41,12::10:19,4.898,14.388,1.942,6.2540000000000004,0.159,5.5520000000000005,0.44,3.571,1.7830000000000001,6.862,-3.94,7.5200000000000005,-4.9229,1.0817,-0.0921,0.24880000000000002,-
2000//2//11,42,07::01:14,17::19:39,12::10:19,4.961,14.42,1.238,9.524000000000001,0.045,7.6240000000000006,0.10300000000000001,4.692,1.194,9.884,0.03,4.93,-5.6398,1.1857,0.22840000000000002,0.2756,-
2000//2//12,43,07::00:15,17::20:52,12::10:19,5.025,14.437000000000001,1.734,6.883,0.179,4.8100000000000005,0.8160000000000001,3.145,1.556,7.456,-3.97,3.97,-5.4493,0.9592,0.07300000000000001,0.4597,-
2000//2//13,44,06::58:59,17::22:35,12::10:18,5.089,14.461,1.81,6.657,0.023,17.198,0.095,6.005,1.7870000000000001,6.923,-4.14,2.35,-5.2159,1.4196,0.0575,0.1082,-
2000//2//14,45,06::57:10,17::23:57,12::10:16,5.154,14.607000000000001,1.889,6.773000000000001,0.504,3.475,1.2530000000000001,3.02,1.385,9.018,0.38,7.86,-6.9714,1.7127000000000001,0.0103,0.1379,-
2000//2//15,46,06::55:51,17::24:59,12::10:14,5.22,14.639000000000001,2.323,5.601,0.556,3.366,1.166,2.978,1.7670000000000001,7.1290000000000004,-2.84,6.13,-5.701300000000001,1.1734,-0.1449,0.2472,-
2000//2//16,47,06::54:42,17::26:17,12::10:11,5.287,14.66,1.768,6.978,0.027,27.04,0.058,12.997,1.741,7.086,-3.35,4.07,-5.5468,0.7495,-0.1945,0.2601,-
2000//2//17,48,06::53:06,17::28:04,12::10:07,5.354,14.691,3.799,3.8930000000000002,-,-,-,-,-,-,-3.44,6.58,-7.628,0.9531000000000001,-0.1932,0.5127,-
2000//2//18,49,06::51:16,17::29:12,12::10:02,5.421,14.844000000000001,3.92,3.7520000000000002,-,-,-,-,-,-,-8.36,9.3,-6.4177,1.0735000000000001,-0.5089,0.5844,-
2000//2//19,50,06::50:10,17::30:17,12::09:57,5.49,14.864,3.95,3.725,3.761,2.751,9.161,2.739,0.192,58.773,-8.26,7.930000000000001,-6.2175,1.6796,-0.1749,0.2556,-
2000//2//20,51,06::48:43,17::31:42,12::09:51,5.559,14.891,1.351,9.131,0.022,18.547,0.046,9.446,1.328,9.301,-0.54,3.92,-5.6506,1.2935,0.0853,0.1592,-
2000//2//21,52,06::46:41,17::33:29,12::09:44,5.628,14.913,1.434,9.023,0.262,3.105,0.6920000000000001,2.845,1.172,11.137,-3.24,6.48,-5.7708,1.1722000000000001,0.2262,0.3569,-
2000//2//22,53,06::45:29,17::34:25,12::09:37,5.698,15.069,1.002,12.553,0.05,7.2250000000000005,0.09,5.0200000000000005,0.9520000000000001,13.212,-3.87,9.23,-6.241700000000001,1.2773,0.22870000000000001,0.3556,-
2000//2//23,54,06::44:05,17::35:32,12::09:29,5.769,15.095,2.044,6.348,0.158,5.8340000000000005,0.291,4.2010000000000005,1.8860000000000001,7.0280000000000005,-3.64,3.23,-6.4522,1.0099,0.0385,0.2296,-
