YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2016//2//28,59,06::53:03,17::51:18,12::21:47,5.47,15.165000000000001,1.801,5.144,0.358,3.602,0.9500000000000001,3.036,1.443,6.458,6.9,11.620000000000001,-3.7735000000000003,0.9871000000000001,-0.04,0.29610000000000003,-
2016//2//29,60,06::51:10,17::52:49,12::21:36,5.546,15.25,2.623,3.958,1.046,3.036,2.12,2.875,1.577,5.956,6.2700000000000005,14.74,-4.287100000000001,0.9470000000000001,0.09570000000000001,0.3563,-
2016//3//1,61,06::49:16,17::54:20,12::21:24,5.623,15.312000000000001,0.905,10.337,0.029,18.941,0.11800000000000001,6.498,0.875,10.814,6.3500000000000005,12.42,-4.7262,0.3844,0.17270000000000002,0.325,-
2016//3//2,62,06::47:21,17::55:50,12::21:12,5.7,15.396,1.739,5.346,0.196,4.396,0.527,3.291,1.542,6.347,7.47,12.84,-4.5943000000000005,0.5262,0.3667,0.4162,-
2016//3//3,63,06::45:26,17::57:20,12::20:59,5.7780000000000005,15.458,2.041,4.956,0.586,3.255,1.46,2.915,1.455,6.954,8.120000000000001,14.700000000000001,-4.7853,0.746,0.083,0.40080000000000005,-
2016//3//4,64,06::43:30,17::58:50,12::20:46,5.856,15.542,1.26,7.3870000000000005,0.047,10.135,0.134,5.051,1.213,7.876,5.8100000000000005,13.700000000000001,-3.7773000000000003,0.6026,0.0757,0.3286,-
2016//3//5,65,06::41:33,18::00:20,12::20:32,5.934,15.58,3.509,3.503,2.24,2.779,4.634,2.7560000000000002,1.27,7.65,8.700000000000001,18.87,-5.290100000000001,1.8719000000000001,0.45130000000000003,0.6829000000000001,-
2016//3//6,66,06::39:36,18::01:49,12::20:18,6.013,15.664,2.265,4.564,0.896,2.98,1.909,2.833,1.369,6.994,6.640000000000001,15.34,-4.2549,1.6236000000000002,0.0809,0.7021000000000001,-
2016//3//7,67,06::37:38,18::03:18,12::20:03,6.091,15.724,2.376,4.624,1.089,3.085,2.747,2.884,1.286,7.95,5.67,12.43,-4.103400000000001,0.6949000000000001,-0.031,0.2929,-
2016//3//8,68,06::35:39,18::04:47,12::19:48,6.17,15.808,2.406,4.328,0.303,4.244,0.5720000000000001,3.422,2.103,5.266,5.42,13.39,-3.6263,0.7743,-0.0584,0.3617,-
2016//3//9,69,06::33:41,18::06:16,12::19:33,6.25,15.868,1.0030000000000001,9.669,0.01,33.273,0.018000000000000002,18.696,0.994,9.998,5.95,12.17,-4.234,0.4713,0.2853,0.4318,-
2016//3//10,70,06::31:41,18::07:44,12::19:18,6.329,15.951,2.472,4.1690000000000005,0.782,3.084,1.942,2.852,1.69,5.97,6.23,12.85,-4.0214,0.5891000000000001,0.2018,0.49920000000000003,-
2016//3//11,71,06::29:42,18::09:12,12::19:02,6.409,16.012,2.029,5.373,0.75,3.182,1.516,2.951,1.28,7.969,4.59,17.8,-4.0118,0.3396,-0.0656,0.30820000000000003,-
2016//3//12,72,06::27:42,18::10:40,12::18:46,6.488,16.095,2.7,4.069,0.745,3.16,1.301,2.967,1.955,5.587,6.140000000000001,11.09,-3.5804,0.7608,0.02,0.3534,-
2016//3//13,73,06::25:42,18::12:08,12::18:29,6.5680000000000005,16.154,1.7750000000000001,5.9350000000000005,0.395,3.983,0.88,3.253,1.3800000000000001,7.714,5.25,11.46,-4.3186,0.8005,-0.025500000000000002,0.32230000000000003,-
2016//3//14,74,06::23:41,18::13:34,12::18:12,6.648000000000001,16.237000000000002,2.866,4.0040000000000004,0.641,3.396,1.189,3.071,2.225,5.281,5.2,9.97,-3.4629000000000003,0.48450000000000004,-0.0766,0.1844,-
2016//3//15,75,06::21:40,18::15:03,12::17:56,6.728,16.297,2.665,4.324,0.932,3.1870000000000003,1.895,2.983,1.733,6.182,5.04,13.81,-3.1409000000000002,0.5739000000000001,-0.0335,0.1961,-
