Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),-,-,-,-,Assorted Daily Values (Rows 12 - 42)
1980.1645036429875,61.20833333333333,1980-03-01--05:00:00,112.51270000000001,76.91035000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.164617486339,61.25,1980-03-01--06:00:00,102.13706,88.11330000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1647313296905,61.291666666666664,1980-03-01--07:00:00,91.54327,98.81343000000001,0,0.,2.,12,16.,72,16.,12,2.,72,NA,11,NA,11,-
1980.164845173042,61.33333333333333,1980-03-01--08:00:00,81.49815000000001,109.74145000000001,178.85,1209.75,60.,12,1.33,72,9.,12,58.67,72,NA,11,NA,11,-
1980.1649590163936,61.375,1980-03-01--09:00:00,72.12303,121.57563,425.40000000000003,1385.8,193.,12,68.76,72,224.,12,124.24000000000001,72,NA,11,NA,11,-
1980.1650728597451,61.416666666666664,1980-03-01--10:00:00,63.91901000000001,134.96659000000002,609.24,1385.77,339.,12,111.67,72,254.,12,227.33,72,NA,11,NA,11,-
1980.1651867030967,61.45833333333333,1980-03-01--11:00:00,57.56720000000001,150.40742,743.19,1385.74,458.,12,232.22,72,433.,12,225.78,72,NA,11,NA,11,-
1980.1653005464482,61.5,1980-03-01--12:00:00,53.821340000000006,167.86361000000002,817.99,1385.71,333.,12,85.59,72,145.,12,247.41,72,NA,11,NA,11,-
1980.1654143897997,61.541666666666664,1980-03-01--13:00:00,53.27835,186.37396,828.54,1385.68,286.,12,14.35,72,24.,12,271.65,72,NA,11,NA,11,-
1980.1655282331515,61.58333333333333,1980-03-01--14:00:00,56.036390000000004,204.32413000000003,774.12,1385.65,309.,12,55.870000000000005,72,100.,12,253.13,72,NA,11,NA,11,-
1980.165642076503,61.625,1980-03-01--15:00:00,61.62606,220.46300000000002,658.48,1385.6200000000001,316.,12,88.39,72,186.,12,227.61,72,NA,11,NA,11,-
1980.1657559198545,61.666666666666664,1980-03-01--16:00:00,69.30680000000001,234.48545000000001,489.62,1385.59,214.,12,55.83,72,158.,12,158.17000000000002,72,NA,11,NA,11,-
1980.165869763206,61.70833333333333,1980-03-01--17:00:00,78.36523000000001,246.76677,279.43,1385.56,63.,12,1.82,72,9.,12,61.18,72,NA,11,NA,11,-
