"Day of month","Day of year","Time Sunrise (HH::MM:SS)","Time Sunset (HH::MM:SS)","Time Solar Noon (HH::MM:SS)","Daily Total Energy ETR (kW h/m^2)","Daily Total Energy ETRn (kW h/m^2)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Minimum daily value","Maximum daily value","Average Nighttime Value","Standard Deviation Nighttime","Average Nighttime Value","Standard Deviation Nighttime","Assorted Daily Values (Rows 12 - 42)"
26,147,"04::15:19","19::33:53","11::54:09",11.255,20.246,2.7880000000000003,3.854,0.03,124.233,0.034,112.452,2.759,5.143,7.33,13.99,1.613,0.6805,1.3713,1.0607,"-"
27,148,"04::14:41","19::34:34","11::54:16",11.283,20.253,5.478,3.,1.25,5.297,1.739,4.472,4.228,4.166,9.58,22.12,1.1622000000000001,1.6185,1.4513,1.9576,"-"
28,149,"04::13:59","19::35:22","11::54:24",11.31,20.262,6.353,2.955,3.729,3.091,5.617,2.824,2.624,4.491,9.58,26.03,0.8025,1.9906000000000001,1.1295,1.9894,"-"
29,150,"04::13:11","19::36:18","11::54:32",11.336,20.273,7.457,2.983,4.056,2.907,5.767,2.775,3.4010000000000002,4.349,9.98,26.330000000000002,0.9430000000000001,1.9086,1.3402,1.9549,"-"
30,151,"04::12:17","19::37:31","11::54:40",11.361,20.281,7.993,2.9010000000000002,5.678,2.733,8.293000000000001,2.601,2.315,4.647,8.61,28.19,0.9242,1.7344000000000002,1.2986,1.9881000000000002,"-"
31,152,"04::11:30","19::38:38","11::54:49",11.385,20.275000000000002,7.91,2.939,6.154,2.604,8.499,2.564,1.756,5.149,12.030000000000001,32.980000000000004,1.4879,1.6917,1.2074,1.6386,"-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"year.fractionofyear","dayofyear.fractionofday","YYYY-MM-DD--HH:MM:SS","SZA","AZM","ETR (W/m^2)","ETRn (W/m^2)","GHI","GHI_Flag","DrHI_Calc","DrHI_Calc_Flag","DNI","DNI_Flag","DHI_Calc","DHI_Calc_Flag","Temperature","Temperature_Flag","GHI_original","GHI_original_Flag","DNI_original","DNI_original_Flag","Data_Begins_Next_Row"
1980.3306105798424,122.00347222222221,"1980-05-01--00:05:00",118.98251,2.2909,0,0.,"NA",99,"NA",99,"NA",99,"NA",99,6.3,11,-0.16,11,0.3,11,"-"
1980.3306200667882,122.00694444444444,"1980-05-01--00:10:00",118.93616000000002,3.6690500000000004,0,0.,"NA",99,"NA",99,"NA",99,"NA",99,6.21,11,0.31,11,0.3,11,"-"
