Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1980.666828,245.0590278,1980-09-01--01:25:00,122.72078,25.37255,0,0,-0.48,12,-0.63,72,-0.63,12,-0.48,72,14.77,11,0.78,11,1.91,11,-
1980.666837,245.0625,1980-09-01--01:30:00,122.3389,26.76904,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,14.58,11,0.31,11,2.31,11,-
1980.666847,245.0659722,1980-09-01--01:35:00,121.93813,28.15207,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,14.58,11,0.78,11,2.31,11,-
1980.666856,245.0694444,1980-09-01--01:40:00,121.51889,29.52134,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,14.48,11,0.31,11,2.31,11,-
1980.666866,245.0729167,1980-09-01--01:45:00,121.08161,30.87656,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,14.58,11,0.78,11,2.71,11,-
1980.666875,245.0763889,1980-09-01--01:50:00,120.62671,32.21753,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,14.68,11,0.78,11,2.71,11,-
1980.666885,245.0798611,1980-09-01--01:55:00,120.15463,33.54406,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,14.58,11,0.78,11,2.71,11,-
1980.666894,245.0833333,1980-09-01--02:00:00,119.66582,34.85602,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,14.58,11,0.78,11,2.31,11,-
1980.666904,245.0868056,1980-09-01--02:05:00,119.1607,36.15333,0,0,NA,99,NA,99,NA,99,NA,99,15.16,99,1.26,99,3.92,99,-
1980.666913,245.0902778,1980-09-01--02:10:00,118.63972,37.43593,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,14.38,11,0.31,11,2.31,11,-
