Station_ID_Number:,94040,-,-,-,-,Type_of_Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
Station_Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station_Location:,Ashland_Oregon_USA,-,-,-,-,Instrument_Serial_Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude_(+North):,42.19441,-,-,-,-,Instrument_Shorthand_Name:,RSP,GTI(15:180),-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude_(+East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.586300000000001,-,9.8322,9.8322,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude_(m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated_Uncertainty_(U95%):,3.125,3.362,3.125,3.125,3.125,1.999,2.191,4.383,2.2
Time_Zone_(+East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample_Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2020//11,-,-,-,-,Column_Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR_(W/m^2),ETRn_(W/m^2),GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
2020.8386839708562,307.9583333333333,2020-11-02--23:00:00,147.43,319.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-245.32,0.0,0.011,7.77
2020.8387978142077,308.0,2020-11-02--24:00:00,152.51,346.93,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-236.7,0.0,0.0322,7.35
2020.8389116575595,308.04166666666663,2020-11-03--01:00:00,152.01,18.31,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-254.23,0.0,0.0653,6.85
2020.839025500911,308.0833333333333,2020-11-03--02:00:00,146.18,44.36,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-250.75,0.0,0.052,6.2
2020.8391393442625,308.125,2020-11-03--03:00:00,137.22,62.85,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-231.57,0.0,0.016,5.43
2020.839253187614,308.16666666666663,2020-11-03--04:00:00,126.82,76.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-254.32,0.0,0.0523,5.92
2020.8393670309656,308.2083333333333,2020-11-03--05:00:00,115.83,87.52,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-240.07,0.0,0.0487,4.69
2020.8394808743171,308.25,2020-11-03--06:00:00,104.75,97.46,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-246.52,0.0,0.0423,4.03
2020.8395947176687,308.29166666666663,2020-11-03--07:00:00,88.74,107.18,3.75,253.85,4.59,4.97,0.0,0.0,4.59,-239.27,0.0,0.006,3.85
2020.8397085610202,308.3333333333333,2020-11-03--08:00:00,82.48,117.39,157.33,1384.63,57.07,68.77,2.46,14.62,54.62,-136.52,112.28,0.101,4.74
2020.8398224043717,308.375,2020-11-03--09:00:00,74.1,128.68,374.76,1384.66,175.12,255.87,111.62,370.42,63.5,710.73,1394.53,0.1093,6.62
