Station_ID_Number:,94040,-,-.1,-.2,-.3,Type_of_Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station_Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station_Location:,Ashland_Oregon_USA,-,-,-,-,Instrument_Serial_Number:,RSP(PY35965_GHI),LICOR(PY35962),RSP(PY35965_DNI),RSP(PY35965_DNI),RSP(PY35965_DHI),PV5kw,PV15kw,WS,TEMP
Latitude_(+North):,42.19441,-,-,-,-,Instrument_Shorthand_Name:,RSP,GHI_TILT,-,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude_(+East):,-122.698158,-,-,-,-,Responsivity:,10.328600000000002,9.439430000000002,-,10.328600000000002,10.328600000000002,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude_(m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated_Uncertainty_(U95%):,3.137,9.332,3.137,3.137,3.137,1.999,2.191,4.383,2.2
Time_Zone_(+East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample_Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2005//01,-,-,-,-,Column_Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2005//03,1100,1200,45.0,162.0,971.149,1381.239,598.31,0.0,371.57,539.17,226.74,3546.77,6606.3,1.36,0.0
2005//03,1200,1300,44.0,183.0,993.606,1381.206,600.2,0.0,379.68,538.85,220.51,3558.31,6428.69,1.4,0.0
2005//03,1300,1400,47.0,204.0,946.79,1381.174,571.59,0.0,349.13,518.19,222.46,3333.39,7731.06,1.39,0.0
2005//03,1400,1500,53.0,222.0,833.93,1381.142,486.11,0.0,280.15,471.79,205.96,2749.55,7305.84,1.33,0.0
2005//03,1500,1600,61.0,237.0,662.783,1381.109,347.94,0.0,203.95,434.6,144.0,1842.72,4992.86,1.21,0.0
2005//03,1600,1700,71.0,249.0,445.205,1381.078,199.31,0.0,97.49,307.7,101.82,779.92,1720.6,0.99,0.0
2005//03,1700,1800,81.0,260.0,197.305,1381.045,65.37,0.0,21.11,115.72,44.26,-61.87,208.59,0.9,0.0
2005//03,1800,1900,89.0,270.0,13.271,396.016,3.42,0.0,0.0,0.41,3.41,-269.88,0.34,0.61,0.0
2005//03,1900,2000,103.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.37,0.0,0.56,0.0
2005//03,2000,2100,114.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-274.37,0.0,0.61,0.0
2005//03,2100,2200,124.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.39,0.0,0.6,0.0
2005//03,2200,2300,132.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.46,0.0,0.55,0.0
2005//03,2300,2400,137.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.48,0.0,0.53,0.0
2005//04,0,100,128.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.86,0.0,0.22,0.0
2005//04,100,200,125.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.94,0.0,0.35,0.0
2005//04,200,300,119.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.27,0.0,0.43,0.0
2005//04,300,400,111.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-254.97,0.0,0.5,0.0
2005//04,400,500,102.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.4,0.0,0.46,0.0
2005//04,500,600,87.0,75.0,33.067,614.846,9.46,0.0,1.45,16.56,7.99,-251.07,0.0,0.37,0.0
2005//04,600,700,79.0,85.0,242.424,1357.279,85.39,0.0,29.78,133.9,55.6,-96.03,47.8,0.37,0.0
2005//04,700,800,68.0,95.0,492.792,1357.246,234.44,0.0,117.91,300.04,116.53,692.22,622.73,0.49,0.0
2005//04,800,900,58.0,106.0,721.377,1357.214,416.89,0.0,244.13,449.3,172.76,1881.91,1840.76,0.73,0.0
2005//04,900,1000,48.0,120.0,911.804,1357.183,546.9,0.0,295.69,430.91,251.21,2624.04,2492.61,0.99,0.0
2005//04,1000,1100,39.0,137.0,1050.986,1357.15,632.19,0.0,344.86,439.79,287.34,2924.04,2967.81,1.19,0.0
2005//04,1100,1200,34.0,160.0,1129.416,1357.117,660.86,0.0,378.0,448.04,282.86,3054.67,2808.32,1.27,0.0
2005//04,1200,1300,33.0,188.0,1141.757,1357.086,684.48,0.0,376.97,443.77,307.5,3212.92,3082.76,1.33,0.0
2005//04,1300,1400,37.0,213.0,1087.19,1357.054,640.84,0.0,358.13,446.7,282.72,3011.65,2378.46,1.32,0.0
2005//04,1400,1500,44.0,233.0,969.468,1357.022,521.12,0.0,252.54,351.36,268.58,2355.22,2129.84,1.22,0.0
2005//04,1500,1600,54.0,248.0,796.667,1356.991,368.95,0.0,155.62,267.3,213.32,1551.82,1582.52,1.26,0.0
2005//04,1600,1700,65.0,260.0,580.67,1356.957,240.46,0.0,105.12,241.37,135.35,820.12,651.21,1.11,0.0
