Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY35962),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw,PV15kw,WS,TEMP
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GHI_TILT,,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.792900000000001,9.439430000000002,,9.792900000000001,9.792900000000001,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,3.1590000000000003,9.332,3.1590000000000003,3.1590000000000003,3.1590000000000003,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2002//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
2002//02,600,700,97.0,100.0,0.325,25.933,0.29,0.31,0.0,0.0,0.28,-240.84,0.0,0.62,2.91
2002//02,700,800,84.0,110.0,91.328,1132.669,32.94,45.66,13.76,114.64,19.17,-132.56,183.11,0.66,3.35
2002//02,800,900,76.0,121.0,321.146,1401.676,150.92,187.71,75.38,312.67,75.54,677.81,1957.09,0.85,4.87
2002//02,900,1000,68.0,133.0,525.773,1401.654,285.36,361.89,163.23,420.82,122.14,1822.3,5160.12,1.13,6.18
2002//02,1000,1100,61.0,147.0,681.135,1401.63,410.38,521.65,253.61,515.44,156.77,2816.14,8157.56,1.56,7.65
2002//02,1100,1200,56.0,163.0,776.294,1401.606,481.07,619.79,319.54,574.33,161.53,3411.27,9673.86,1.49,8.9
2002//02,1200,1300,55.0,181.0,804.701,1401.581,478.39,614.83,323.18,558.11,155.22,3345.59,9492.78,1.4,9.97
2002//02,1300,1400,57.0,199.0,764.415,1401.558,444.41,564.65,285.81,519.62,158.6,3012.62,8603.88,1.35,10.71
2002//02,1400,1500,62.0,215.0,658.214,1401.536,345.74,439.78,216.06,453.14,129.68,2241.14,6576.9,1.36,11.17
2002//02,1500,1600,69.0,229.0,493.444,1401.511,243.06,314.1,148.15,412.94,94.91,1293.14,3759.28,1.23,12.02
2002//02,1600,1700,78.0,241.0,281.84,1401.488,108.39,132.36,51.52,209.35,56.88,259.19,818.63,1.12,11.7
2002//02,1700,1800,85.0,251.0,59.345,962.725,12.33,11.48,0.25,1.95,12.08,-239.3,7.78,0.96,9.87
2002//02,1800,1900,99.0,261.0,0.0,0.0,0.07,0.05,0.0,0.0,0.07,-249.35,0.0,0.89,8.45
2002//02,1900,2000,110.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.19,0.0,1.07,7.55
2002//02,2000,2100,121.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.7,0.0,1.03,6.83
2002//02,2100,2200,131.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.93,0.0,0.83,5.81
2002//02,2200,2300,141.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.99,0.0,0.75,5.41
2002//02,2300,2400,148.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.75,0.0,0.77,4.89
2002//03,0,100,140.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.56,0.0,0.34,4.06
2002//03,100,200,137.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.91,0.0,0.4,3.67
2002//03,200,300,130.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.01,0.0,0.46,3.22
2002//03,300,400,122.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.1,0.0,0.45,2.87
2002//03,400,500,111.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.78,0.0,0.31,2.61
2002//03,500,600,100.0,82.0,0.003,1.256,0.09,0.09,0.0,0.0,0.08,-248.57,0.0,0.2,2.08
2002//03,600,700,86.0,93.0,56.269,821.567,19.63,22.32,6.92,53.39,12.7,-229.85,98.35,0.27,2.17
2002//03,700,800,78.0,103.0,284.416,1381.367,127.61,142.76,59.81,254.3,67.79,209.42,1320.05,0.4,3.52
2002//03,800,900,67.0,114.0,524.146,1381.335,296.31,339.7,168.66,430.22,127.65,1514.37,4525.43,0.69,5.59
2002//03,900,1000,58.0,127.0,727.15,1381.304,460.26,537.57,292.17,547.62,168.09,2659.27,7630.24,0.98,7.15
