Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GTI(15:180),-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude (+ East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.5863,-,9.8322,9.8322,160,2.77778,1308.90052,1000
Altitude (m):,594,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,3.125,3.362,3.125,3.125,3.125,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2020//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2020//04,300,400,111.0,53.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.02,-247.65,0.0,0.28,7.02
2020//04,400,500,101.0,65.0,0.0,0.0,0.01,0.01,0.0,0.0,-0.0,-248.2,0.0,0.26,6.46
2020//04,500,600,87.0,76.0,34.159,668.486,10.41,8.44,1.31,13.36,9.1,-244.07,0.0,0.27,6.13
2020//04,600,700,79.0,86.0,243.477,1350.577,102.69,89.33,44.28,213.75,58.42,-50.64,299.39,0.35,7.44
2020//04,700,800,68.0,96.0,492.509,1350.547,264.1,273.87,154.25,417.07,109.85,636.99,2105.98,0.61,9.74
2020//04,800,900,58.0,107.0,719.836,1350.515,429.02,478.94,288.06,540.53,140.96,1597.34,4729.53,0.96,11.47
2020//04,900,1000,48.0,120.0,909.192,1350.482,594.04,683.3,431.03,640.74,163.01,2487.58,7130.96,1.14,13.02
2020//04,1000,1100,39.0,138.0,1047.56,1350.45,706.26,817.86,504.2,651.84,202.07,2988.74,8430.27,1.54,14.38
2020//04,1100,1200,33.0,161.0,1125.491,1350.419,751.4,869.51,543.5,652.19,207.9,3187.43,8762.09,1.64,15.65
2020//04,1200,1300,32.0,189.0,1137.685,1350.386,761.84,876.65,544.37,647.28,217.47,3168.14,8642.28,1.59,16.81
2020//04,1300,1400,37.0,214.0,1083.328,1350.355,723.95,837.02,522.13,652.11,201.82,3001.44,8245.84,1.63,17.76
2020//04,1400,1500,44.0,234.0,966.162,1350.324,608.93,702.03,435.04,610.67,173.88,2483.44,6301.52,1.6,18.49
2020//04,1500,1600,54.0,249.0,794.223,1350.291,470.26,529.92,322.68,548.25,147.58,1761.08,2991.44,1.56,18.79
2020//04,1600,1700,64.0,260.0,579.335,1350.26,325.16,349.89,215.23,496.61,109.93,927.33,1133.54,1.48,18.57
2020//04,1700,1800,75.0,271.0,336.497,1350.229,157.26,147.55,84.28,321.19,72.98,101.52,258.76,1.3,17.78
2020//04,1800,1900,84.0,281.0,91.399,1143.782,32.62,25.52,9.01,69.98,23.6,-231.37,8.73,0.92,16.1
2020//04,1900,2000,96.0,291.0,0.188,25.328,0.34,0.27,0.0,0.0,0.33,-248.16,0.0,0.66,14.24
2020//04,2000,2100,107.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-249.25,0.0,0.45,12.76
2020//04,2100,2200,116.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-250.89,0.0,0.35,11.42
2020//04,2200,2300,123.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-252.98,0.0,0.31,10.26
2020//04,2300,2400,127.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-251.3,0.0,0.33,9.4
2020//05,0,100,119.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-251.91,0.0,0.18,11.01
2020//05,100,200,116.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-250.45,0.0,0.14,10.27
2020//05,200,300,111.0,36.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,-252.34,0.0,0.13,9.74
2020//05,300,400,103.0,48.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,-247.88,0.0,0.12,9.21
2020//05,400,500,90.0,60.0,4.005,213.211,1.52,1.27,0.0,0.0,1.5,-248.22,0.0,0.13,8.76
2020//05,500,600,83.0,70.0,143.936,1312.81,51.39,29.0,20.97,149.24,30.42,-225.67,18.71,0.14,9.23
2020//05,600,700,73.0,79.0,383.564,1330.052,176.03,142.68,96.37,332.21,79.66,113.84,712.26,0.25,11.52
2020//05,700,800,62.0,89.0,619.077,1330.028,317.76,309.16,185.62,400.01,132.13,801.72,2534.88,0.57,13.41
2020//05,800,900,51.0,99.0,832.597,1330.005,456.45,474.36,282.01,452.52,174.44,1551.26,4494.69,0.88,14.97
2020//05,900,1000,41.0,112.0,1009.378,1329.982,598.13,639.67,392.79,518.8,205.33,2239.68,6364.62,1.02,16.05
2020//05,1000,1100,31.0,130.0,1137.329,1329.96,709.13,764.76,471.97,553.31,237.16,2550.91,7574.35,1.2,17.57
2020//05,1100,1200,25.0,158.0,1207.722,1329.935,727.22,780.46,474.53,523.55,252.69,2579.56,7563.06,1.4,18.93
2020//05,1200,1300,24.0,193.0,1215.767,1329.913,760.44,816.54,530.92,580.64,229.52,2832.4,7826.49,1.51,19.95
2020//05,1300,1400,29.0,223.0,1160.934,1329.89,716.98,774.57,494.14,565.64,222.84,2718.69,7376.7,1.58,20.64
2020//05,1400,1500,38.0,244.0,1046.985,1329.867,611.14,654.62,390.81,495.46,220.33,2232.54,5589.95,1.6,20.89
2020//05,1500,1600,48.0,258.0,881.721,1329.845,470.36,491.5,266.69,401.85,203.66,1579.56,2492.96,1.45,21.0
2020//05,1600,1700,59.0,269.0,676.467,1329.821,327.76,325.26,176.69,344.53,151.07,836.89,1150.76,1.39,20.84
2020//05,1700,1800,70.0,278.0,445.366,1329.798,190.89,171.39,81.57,240.11,109.32,206.28,529.73,1.23,20.09
2020//05,1800,1900,80.0,288.0,205.019,1329.775,65.14,46.56,23.04,131.54,42.1,-193.82,45.89,0.97,18.86
2020//05,1900,2000,87.0,298.0,19.464,543.326,5.51,4.03,0.52,7.09,4.98,-252.96,0.0,0.64,17.07
2020//05,2000,2100,101.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-251.18,0.0,0.55,15.73
2020//05,2100,2200,109.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-251.67,0.0,0.44,14.35
2020//05,2200,2300,115.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-251.37,0.0,0.33,13.08
2020//05,2300,2400,118.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-252.8,0.0,0.34,12.09
2020//06,0,100,115.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-249.86,0.0,0.11,14.11
2020//06,100,200,112.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-253.28,0.0,0.15,13.3
2020//06,200,300,107.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-251.19,0.0,0.17,12.7
2020//06,300,400,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.04,0.0,0.17,12.1
2020//06,400,500,88.0,56.0,14.067,500.11,3.53,2.94,0.0,0.0,3.53,-253.37,0.0,0.16,11.62
2020//06,500,600,81.0,66.0,188.249,1317.983,69.45,33.06,35.81,226.12,33.64,-220.97,19.51,0.18,12.61
2020//06,600,700,71.0,75.0,420.211,1317.975,211.73,166.93,133.35,411.89,78.38,254.61,883.2,0.27,14.87
2020//06,700,800,60.0,84.0,648.317,1317.965,380.03,356.52,261.3,529.72,118.74,1207.65,3089.19,0.41,16.66
2020//06,800,900,49.0,94.0,856.177,1317.955,547.92,554.34,399.78,614.42,148.14,2277.66,5605.82,0.73,17.82
2020//06,900,1000,39.0,107.0,1029.48,1317.947,703.18,736.05,523.34,669.08,179.84,3148.42,7543.16,1.02,19.04
2020//06,1000,1100,29.0,124.0,1156.368,1317.937,804.86,851.5,622.37,709.16,182.49,3645.13,8598.01,1.23,20.4
2020//06,1100,1200,21.0,152.0,1228.18,1317.929,854.53,901.8,671.8,721.28,182.73,3839.58,8945.79,1.38,21.5
2020//06,1200,1300,20.0,192.0,1240.018,1317.919,869.59,911.96,673.6,716.01,195.98,3863.33,8943.33,1.46,22.55
2020//06,1300,1400,25.0,226.0,1191.078,1317.91,802.04,845.49,615.24,680.25,186.81,3515.83,8138.85,1.56,23.47
2020//06,1400,1500,35.0,247.0,1084.703,1317.901,684.47,720.9,516.73,626.65,167.73,2960.22,6399.23,1.46,23.89
2020//06,1500,1600,45.0,261.0,928.155,1317.893,553.78,570.04,393.53,556.1,160.25,2267.2,2948.91,1.41,24.11
2020//06,1600,1700,56.0,272.0,732.141,1317.884,411.02,401.13,274.76,492.73,136.26,1388.62,1258.56,1.3,24.03
2020//06,1700,1800,67.0,281.0,510.109,1317.875,264.9,232.45,164.17,418.51,100.73,494.24,577.61,1.18,23.59
2020//06,1800,1900,77.0,290.0,277.579,1317.865,120.24,76.94,68.02,314.9,52.22,-125.77,70.44,1.01,22.43
2020//06,1900,2000,85.0,300.0,60.468,1012.455,21.36,10.8,7.4,81.01,13.96,-250.67,0.05,0.81,20.6
2020//06,2000,2100,97.0,310.0,0.0,0.0,0.11,0.05,0.0,0.0,0.11,-254.27,0.0,0.51,19.03
2020//06,2100,2200,105.0,322.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-249.94,0.0,0.29,17.49
2020//06,2200,2300,111.0,335.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-250.26,0.0,0.22,16.1
2020//06,2300,2400,114.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-250.67,0.0,0.15,14.92
2020//07,0,100,117.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.48,0.0,0.08,17.65
2020//07,100,200,115.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.18,0.0,0.08,16.61
2020//07,200,300,110.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-254.04,0.0,0.05,15.63
2020//07,300,400,103.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.22,0.0,0.02,14.69
2020//07,400,500,90.0,57.0,3.205,191.028,1.84,1.55,0.0,0.0,1.84,-251.34,0.0,0.01,13.91
2020//07,500,600,83.0,67.0,137.061,1306.38,62.55,26.85,33.27,237.92,29.28,-236.57,2.18,0.01,14.65
2020//07,600,700,73.0,76.0,370.78,1317.03,215.81,157.93,154.25,536.44,61.56,155.98,658.2,0.07,17.84
2020//07,700,800,63.0,86.0,602.96,1317.037,398.1,379.22,312.0,676.27,86.1,1145.07,2892.63,0.29,20.32
2020//07,800,900,52.0,96.0,815.984,1317.043,575.74,595.46,484.81,779.79,90.93,2323.95,5751.79,0.67,21.63
2020//07,900,1000,41.0,108.0,995.12,1317.05,725.14,778.4,630.28,832.49,94.86,3213.19,7744.57,0.96,23.13
2020//07,1000,1100,31.0,125.0,1128.085,1317.056,859.0,933.01,755.98,881.5,103.03,3870.75,9126.7,1.27,24.92
2020//07,1100,1200,24.0,151.0,1205.783,1317.063,936.95,1015.87,833.35,909.84,103.6,4182.1,9685.02,1.53,26.66
2020//07,1200,1300,22.0,188.0,1222.897,1317.069,950.62,1025.83,844.86,909.49,105.75,4202.42,9620.38,1.7,28.29
2020//07,1300,1400,27.0,221.0,1178.246,1317.078,906.09,984.05,800.27,894.0,105.82,3985.79,9110.19,1.75,29.79
2020//07,1400,1500,35.0,243.0,1074.863,1317.084,793.56,859.41,691.75,846.38,101.81,3430.94,7190.69,1.65,30.87
2020//07,1500,1600,46.0,258.0,919.798,1317.091,647.31,687.08,551.39,786.81,95.92,2650.56,2677.77,1.61,31.31
2020//07,1600,1700,57.0,269.0,723.64,1317.097,482.99,486.63,394.2,713.19,88.79,1632.44,803.46,1.5,31.33
2020//07,1700,1800,68.0,278.0,499.852,1317.104,304.39,271.43,230.6,602.94,73.78,522.34,253.93,1.47,30.6
2020//07,1800,1900,78.0,288.0,264.12,1317.111,145.73,92.85,95.12,453.45,50.61,-127.56,25.56,1.25,29.12
2020//07,1900,2000,86.0,297.0,49.485,900.58,21.86,11.05,7.37,81.84,14.49,-250.8,0.9,1.06,26.78
2020//07,2000,2100,98.0,308.0,0.0,0.0,0.07,0.02,0.0,0.0,0.06,-253.61,0.0,0.86,24.79
2020//07,2100,2200,106.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.66,0.0,0.42,22.96
2020//07,2200,2300,112.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.93,0.0,0.2,20.99
2020//07,2300,2400,116.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.12,0.0,0.14,19.3
2020//08,0,100,124.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.16,0.0,0.06,18.03
2020//08,100,200,122.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.91,0.0,0.02,16.97
2020//08,200,300,116.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.05,0.0,0.0,16.05
2020//08,300,400,109.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.02,0.0,0.0,15.18
2020//08,400,500,99.0,62.0,0.0,0.0,0.07,0.03,0.0,0.0,0.07,-249.37,0.0,0.01,14.56
2020//08,500,600,86.0,73.0,48.163,846.492,18.54,10.42,6.72,64.37,11.81,-248.58,0.0,0.0,14.31
2020//08,600,700,78.0,82.0,270.807,1327.557,139.22,111.4,87.38,387.3,51.84,-29.65,308.8,0.02,16.59
2020//08,700,800,67.0,92.0,513.665,1327.578,307.09,306.88,217.46,551.83,89.63,782.49,2092.88,0.1,19.78
2020//08,800,900,56.0,103.0,736.176,1327.599,465.94,501.07,350.75,625.37,115.19,1824.34,4509.92,0.37,21.54
2020//08,900,1000,46.0,116.0,922.68,1327.621,618.58,688.22,481.37,688.45,137.21,2716.69,6600.53,0.71,23.07
2020//08,1000,1100,37.0,134.0,1060.339,1327.642,716.52,806.93,564.13,703.67,152.39,3231.65,7679.39,0.98,24.6
2020//08,1100,1200,31.0,158.0,1139.715,1327.664,799.19,900.86,640.27,743.58,158.92,3603.37,8418.14,1.2,26.33
2020//08,1200,1300,29.0,187.0,1155.362,1327.685,834.8,941.39,680.64,780.53,154.16,3744.51,8640.77,1.43,28.18
2020//08,1300,1400,33.0,215.0,1106.185,1327.705,782.62,883.44,620.55,743.21,162.07,3474.33,8016.14,1.57,29.72
2020//08,1400,1500,41.0,235.0,995.527,1327.727,667.67,749.87,523.53,696.81,144.14,2897.45,5837.76,1.54,30.73
2020//08,1500,1600,51.0,250.0,830.928,1327.748,552.84,608.67,429.62,683.84,123.22,2226.21,1894.29,1.43,31.46
2020//08,1600,1700,62.0,262.0,623.651,1327.769,386.74,405.81,292.06,615.45,94.68,1211.98,509.26,1.35,31.5
2020//08,1700,1800,73.0,272.0,388.024,1327.792,211.66,189.81,146.25,483.27,65.4,235.03,101.57,1.16,30.73
2020//08,1800,1900,82.0,282.0,143.294,1261.813,64.57,45.87,32.92,209.24,31.64,-219.0,8.12,0.9,28.76
2020//08,1900,2000,91.0,292.0,5.375,210.618,2.49,2.14,0.0,0.05,2.47,-248.79,0.0,0.67,26.25
2020//08,2000,2100,104.0,303.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-251.76,0.0,0.51,24.5
2020//08,2100,2200,113.0,316.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-253.48,0.0,0.28,22.54
2020//08,2200,2300,120.0,330.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-250.03,0.0,0.09,20.49
2020//08,2300,2400,124.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-248.67,0.0,0.08,19.03
2020//09,0,100,135.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-249.89,0.0,0.51,15.93
2020//09,100,200,131.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-248.82,0.0,0.57,15.17
2020//09,200,300,125.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.72,0.0,0.57,14.5
2020//09,300,400,116.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.59,0.0,0.56,13.88
2020//09,400,500,106.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-248.42,0.0,0.63,13.36
2020//09,500,600,91.0,82.0,3.573,172.115,1.52,1.37,0.0,0.0,1.52,-251.14,0.0,0.58,12.85
2020//09,600,700,82.0,92.0,148.419,1313.071,53.16,52.02,17.75,105.72,35.42,-215.88,68.03,0.63,13.28
2020//09,700,800,73.0,103.0,397.028,1347.0,196.57,212.01,103.29,339.81,93.28,161.19,1250.06,0.68,15.93
2020//09,800,900,62.0,114.0,623.768,1347.031,353.77,403.32,204.23,435.6,149.54,1110.97,3346.18,0.87,18.34
2020//09,900,1000,53.0,128.0,810.939,1347.061,489.5,572.89,298.62,490.73,190.88,1851.81,5210.62,1.03,20.05
2020//09,1000,1100,45.0,145.0,945.56,1347.092,605.68,716.58,380.8,538.35,224.89,2381.59,6569.71,1.12,22.05
2020//09,1100,1200,41.0,166.0,1018.372,1347.124,658.73,785.15,435.25,572.32,223.48,2601.8,7056.8,1.19,23.93
2020//09,1200,1300,40.0,189.0,1024.372,1347.154,675.76,804.34,443.35,579.37,232.41,2647.51,7129.29,1.39,25.76
2020//09,1300,1400,44.0,211.0,963.128,1347.183,595.61,705.29,379.69,526.04,215.92,2263.94,6137.95,1.47,27.1
2020//09,1400,1500,51.0,229.0,838.81,1347.215,490.23,577.96,310.16,493.28,180.08,1762.46,3956.06,1.36,28.01
2020//09,1500,1600,61.0,243.0,659.919,1347.247,351.43,405.34,209.31,420.99,142.12,1018.56,1537.86,1.24,28.36
