Time_Zone_(+East):,-8.,Sample Method:,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,-,-,-,-,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,m/s,m/s,m/s,m/s,C,C,C,C
Years:,2007-2014,Column Notes:,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MM/YY,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
01//27,27,-,0.516,3.007,2.0405,2.414,0.501,4.577,2.76775,3.2409999999999997,0.0,2.564,1.1091250000000001,0.984,0.0,6.862,2.8715,2.4805,0.41400000000000003,1.5,0.931625,0.8895,-4.577,14.238,5.851625,8.3445,3.891,59.385,35.528,44.083,0.05288194444444445,1.264375,0.41813802083333335,0.14227430555555554,-4.82,0.64,-2.13375,-2.4450000000000003
01//28,28,-,0.976,3.091,2.019625,2.051,0.985,4.525,2.63125,2.5455,0.001,2.657,0.97375,0.702,0.002,7.087,2.481,1.6430000000000002,0.434,1.448,1.046125,1.171,-6.126,14.136000000000001,4.34,4.390499999999999,0.0,58.207,30.407,30.4405,0.03413194444444445,2.2220833333333334,0.5904340277777779,0.10756944444444444,-4.82,6.59,0.5075,0.315
01//29,29,-,1.162,3.087,1.851,1.71,1.143,4.469,2.271875,1.964,0.004,2.543,0.6172500000000001,0.272,0.012,6.695,1.6796250000000001,0.6375,0.544,1.576,1.233625,1.3295,-6.1240000000000006,8.854000000000001,2.781875,3.209,0.0,60.224000000000004,26.07175,23.3735,0.036145833333333335,1.6529166666666666,0.4531423611111111,0.2214583333333333,-3.04,6.390000000000001,0.8237500000000001,-0.020000000000000018
01//30,30,-,1.028,3.097,2.074,1.8995000000000002,0.996,4.554,2.71825,2.3045,0.001,2.6510000000000002,0.9792500000000001,0.5075000000000001,0.002,6.971,2.4625,1.3395000000000001,0.445,1.599,1.094875,1.1545,-6.123,15.006,4.661125,5.4665,0.0,60.516,31.34325,28.437,0.06152777777777777,0.32756944444444447,0.20223090277777778,0.16732638888888887,-3.08,3.0100000000000002,-0.03374999999999995,0.585
01//31,31,-,0.645,3.17,2.023125,2.105,0.64,4.603,2.64775,2.606,0.0,2.732,1.01025,0.5549999999999999,0.0,7.109,2.57,1.2915,0.437,1.666,1.012875,1.016,-4.1370000000000005,16.127,5.6105,6.945,2.942,61.414,33.382,32.596999999999994,0.023055555555555555,1.5484722222222222,0.3970182291666667,0.16197916666666667,-3.7,2.09,-1.01,-1.0
02//01,32,-,1.047,3.354,2.30775,2.3655,1.084,5.087,3.1454999999999997,3.246,0.023,2.94,1.4043750000000002,1.432,0.091,7.525,3.56,3.4045,0.41400000000000003,1.399,0.903375,0.9335,-1.49,19.489,7.254625,7.683,10.448,62.198,38.06225,39.93,0.08277777777777778,1.06375,0.27358072916666665,0.14807291666666667,-4.48,2.17,-1.2312500000000002,-1.195
02//02,33,-,1.089,3.266,2.5725000000000002,2.8985000000000003,1.147,4.807,3.5220000000000002,4.029,0.035,2.632,1.5090000000000001,1.7675,0.074,6.487,3.81575,4.429,0.561,1.745,1.0635000000000001,0.9125000000000001,-0.705,18.059,10.05125,11.1365,13.713000000000001,61.948,44.535125,52.015,0.031006944444444445,1.9043750000000002,0.6533897569444445,0.4169618055555556,-3.75,0.44,-2.0500000000000003,-2.245
02//03,34,-,1.577,3.459,2.5711250000000003,2.366,1.689,5.091,3.474625,3.0355,0.152,2.8930000000000002,1.433625,0.992,0.304,7.296,3.554625,2.3845,0.457,1.703,1.137625,1.29,2.5300000000000002,17.457,10.0815,9.036999999999999,22.545,64.512,44.58475,37.1965,0.08642361111111112,2.8280208333333334,0.6977083333333334,0.39980902777777777,-3.44,7.51,0.74125,0.9750000000000001
02//04,35,-,0.633,3.446,2.4565,2.56,0.631,5.0680000000000005,3.27975,3.4135,0.0,2.895,1.30875,1.2405,0.027,7.098,3.10125,2.8840000000000003,0.551,1.798,1.14775,1.166,-3.94,17.123,8.839125000000001,8.839500000000001,4.476,63.832,41.6785,42.156000000000006,0.07069444444444445,2.9212847222222225,0.7791840277777778,0.2347048611111111,-1.87,7.18,0.87625,-0.28
02//05,36,-,1.309,3.424,2.261875,2.188,1.3780000000000001,4.939,2.921125,2.6740000000000004,0.016,2.685,1.053125,0.636,0.038,6.743,2.5625,1.423,0.739,1.69,1.2085,1.2440000000000002,-2.317,16.786,7.750875000000001,7.047000000000001,15.870000000000001,61.815000000000005,36.730375,34.097,0.09510416666666666,2.0702083333333334,0.5712543402777778,0.2474826388888889,-4.2700000000000005,4.19,0.35125,0.7100000000000001
