MM/DD,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
01//11,11,-,0.524,2.235,1.39345,1.46,0.52,3.3890000000000002,1.8412222222222223,1.9220000000000002,0.0,1.588,0.49445,0.358,0.0,4.545,1.427,0.9410000000000001,0.524,1.3,0.8992,0.9225,-5.815,10.416,1.07625,-0.0335,3.458,44.216,19.9046,20.671,0.0271875,3.0818055555555555,0.9503642361111111,0.41130555555555554,-4.66,10.08,0.9033333333333333,0.47,-4.66,18.990000000000002,5.53475,4.529999999999999
01//12,12,-,0.639,2.726,1.84925,1.887,0.61,4.242,2.6013333333333333,2.4485,0.0,2.334,1.03805,0.741,0.001,6.957,2.95185,1.9344999999999999,0.392,1.343,0.81135,0.785,-5.865,14.776,4.81665,5.583500000000001,4.702,55.319,31.24955,31.016,0.006423611111111112,3.749236111111111,0.9147201388888888,0.26022569444444443,-8.81,10.06,1.1872222222222222,1.2850000000000001,-8.81,16.330000000000002,5.5385,6.15
01//13,13,-,0.633,2.746,1.7839473684210527,1.979,0.628,4.211,2.4688823529411765,2.7520000000000002,0.0,2.331,0.9325263157894736,0.926,0.005,6.838,2.677736842105263,2.676,0.364,1.493,0.8513684210526316,0.8220000000000001,-5.851,13.293000000000001,4.111315789473684,4.495,4.583,52.0,29.418315789473684,32.76,0.021493055555555557,2.5817083333333333,0.68686875,0.28179166666666666,-10.3,7.18,-0.4522222222222223,-0.165,-10.3,16.87,4.60625,4.175000000000001
01//14,14,-,0.533,2.702,1.6059,1.383,0.515,4.184,2.1285,1.5935000000000001,0.0,2.241,0.7402,0.2535,0.001,6.557,2.09785,0.839,0.461,1.248,0.86555,0.796,-5.7540000000000004,12.595,2.56355,1.1760000000000002,4.122,51.229,25.35895,19.5025,0.0196875,2.7502222222222223,0.5624802083333333,0.2012847222222222,-8.97,6.8500000000000005,-0.7916666666666666,-0.615,-8.97,19.2,4.07275,4.16
01//15,15,-,0.47400000000000003,2.771,1.842421052631579,1.733,0.462,4.317,2.6218823529411766,2.492,0.0,2.343,0.9509473684210527,0.614,0.005,6.785,2.690157894736842,1.621,0.424,1.405,0.8916315789473684,0.998,-5.8180000000000005,14.876,4.118157894736842,2.691,1.929,57.131,31.46863157894737,26.252,0.02972222222222223,3.044548611111111,0.7725944444444444,0.21256944444444442,-7.08,9.26,-0.8283333333333334,-1.29,-7.08,18.22,3.78825,3.89
01//16,16,-,0.395,2.817,1.82735,1.8165,0.589,4.406,2.7528333333333332,2.838,0.0,2.384,0.96425,0.573,0.0,6.746,2.7142,1.7055,0.383,1.346,0.86315,0.8345,-5.912,15.759,4.76105,3.8545,0.0,57.875,31.48945,31.318,0.06298611111111112,2.4457708333333334,0.5001923611111111,0.15058333333333335,-6.86,8.14,-0.8733333333333334,-1.0050000000000001,-6.86,14.97,3.766,4.775
01//17,17,-,0.304,2.886,1.72015,1.4955,0.295,4.437,2.3441111111111113,1.756,0.0,2.476,0.83325,0.43400000000000005,0.001,7.051,2.3045,1.1055000000000001,0.304,1.463,0.88685,0.9505,-5.973,14.477,3.968,1.8075,0.0,56.222,26.848,20.2855,0.07388888888888889,2.920555555555556,0.8216833333333334,0.3123611111111111,-7.65,6.58,-0.7311111111111112,-1.7349999999999999,-7.65,18.23,4.56375,4.725
01//18,18,-,0.318,2.945,1.7521,1.9355,0.352,4.555,2.484,2.518,0.0,2.552,0.89635,0.473,0.0,7.2780000000000005,2.4841,1.35,0.318,1.5,0.85585,0.86,-5.8180000000000005,15.291,4.40585,2.2265,1.42,58.99,29.0592,25.860500000000002,0.02965277777777778,3.7125694444444446,0.9651840277777778,0.2913368055555555,-4.86,11.76,1.11,1.88,-4.86,18.11,5.62125,6.055
01//19,19,-,0.451,2.97,1.89465,1.9615,0.581,4.567,2.7103333333333333,2.4445,0.0,2.556,1.0292000000000001,0.73,0.001,7.227,2.8631,1.8405,0.389,1.597,0.86545,0.9685000000000001,-5.8180000000000005,16.257,4.6777,2.747,1.7690000000000001,59.212,31.445800000000002,28.1675,0.03475694444444445,4.174479166666667,0.7223208333333333,0.1630902777777778,-4.46,6.0600000000000005,0.2211111111111111,0.525,-4.46,14.09,5.07575,6.0
01//20,20,-,0.491,3.0140000000000002,1.7012,1.7555,0.503,4.609,2.4085555555555556,2.314,0.0,2.62,0.8471500000000001,0.4625,0.0,7.399,2.3329500000000003,1.3075,0.389,1.3960000000000001,0.854,0.9139999999999999,-5.8580000000000005,16.45,3.21315,1.4905000000000002,3.2720000000000002,58.141,26.78775,24.775,0.05333333333333333,3.7743055555555554,0.7640770833333334,0.14163194444444444,-5.36,5.51,-0.5611111111111111,-0.915,-5.36,13.89,4.5375000000000005,4.949999999999999
