MM,HH,measurement:,GHI,GHI,GHI,GHI,GHI_Tilt,GHI_Tilt,GHI_Tilt,GHI_Tilt,DrHI_Calc,DrHI_Calc,DrHI_Calc,DrHI_Calc,DNI,DNI,DNI,DNI,DHI,DHI,DHI,DHI,PV_Power,PV_Power,PV_Power,PV_Power,PV_Power.1,PV_Power.1,PV_Power.1,PV_Power.1,Wind_Speed,Wind_Speed,Wind_Speed,Wind_Speed,TEMPERATURE,TEMPERATURE,TEMPERATURE,TEMPERATURE
01,15,-,166.65,275.47,224.4055,230.46499999999997,195.8,397.74,309.555,322.46500000000003,28.27,173.12,109.76650000000001,113.41,79.06,489.57,311.342,321.595,92.72,138.37,114.64,117.01499999999999,-244.66,1643.38,821.1225000000001,819.325,2137.94,4744.06,3445.2695,3553.715,0.31,1.81,1.0335,0.985,5.84,10.89,8.045625,7.83
01,16,-,94.45,161.34,131.126,133.17000000000002,106.95,238.72,183.905,181.57999999999998,12.01,98.16,57.2235,57.864999999999995,45.53,380.19,229.0515,233.68,55.65,83.7,73.9025,75.39,-243.74,636.85,185.6665,138.65,695.82,1898.58,1326.493,1339.745,0.27,1.73,0.899,0.89,5.76,11.06,8.16375,8.125
01,17,-,22.73,31.38,27.6435,28.025,21.17,32.98,28.644375,28.355,0.18,6.18,2.005,1.375,1.05,32.42,11.0335,7.475,20.96,29.06,25.59,25.94,-249.26,-189.25,-215.5805,-212.725,19.87,106.08,64.1165,63.144999999999996,0.23,1.38,0.753,0.72,5.11,10.34,7.268125,7.02
01,18,-,0.86,1.84,1.359,1.3,0.83,1.59,1.214375,1.1749999999999998,0.0,0.02,0.004,0.0,0.0,4.7,0.59,0.2,0.85,1.81,1.328,1.26,-267.47,-243.92,-252.821,-252.315,0.0,0.52,0.0275,0.0,0.17,1.28,0.6515,0.63,3.52,9.41,6.13375,5.8100000000000005
01,19,-,-0.06,0.2,0.011500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.14,0.0030000000000000005,0.0,-270.59,-244.78,-255.238,-253.945,0.0,0.0,0.0,0.0,0.17,1.17,0.64,0.625,2.34,8.79,5.326875,4.970000000000001
01,20,-,-0.03,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.06,-0.002,0.0,-271.44,-244.92,-256.0395,-254.8,0.0,0.0,0.0,0.0,0.17,1.15,0.667,0.685,1.85,8.32,4.82125,4.325
01,21,-,-0.02,0.04,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.01,-0.0035,0.0,-270.71,-243.01,-255.185,-253.95999999999998,0.0,0.0,0.0,0.0,0.17,1.31,0.677,0.71,1.36,8.05,4.4925,3.935
01,22,-,-0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,-0.0045000000000000005,0.0,-270.44,-243.16,-254.555,-252.995,0.0,0.0,0.0,0.0,0.12,1.31,0.692,0.72,0.82,7.65,4.1725,3.4749999999999996
01,23,-,-0.01,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,-0.005,0.0,-270.56,-245.16,-254.3445,-253.61,0.0,0.0,0.0,0.0,0.09,1.42,0.6819999999999999,0.725,0.38,7.53,3.855,3.08
01,24,-,-0.01,0.0,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,-0.006,0.0,-269.76,-243.63,-253.1565,-251.39999999999998,0.0,0.0,0.0,0.0,0.17,1.28,0.638,0.6699999999999999,0.28,7.65,3.598125,2.7249999999999996
02,01,-,-0.04,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.01,0.0,-268.49,-220.28,-250.958,-251.095,0.0,0.0,0.0,0.0,0.11,1.4,0.5535,0.585,1.9,5.74,3.89375,3.91
02,02,-,-0.05,0.01,-0.006500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,-0.013000000000000001,0.0,-268.09,-221.3,-251.1475,-252.8,0.0,0.0,0.0,0.0,0.11,1.37,0.536,0.505,1.78,5.16,3.5681249999999998,3.625
02,03,-,-0.07,0.01,-0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,-0.0145,0.0,-266.16,-218.33,-250.029,-249.64499999999998,0.0,0.0,0.0,0.0,0.09,1.32,0.508,0.52,1.4,5.08,3.274375,3.3449999999999998
02,04,-,-0.1,0.01,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,-0.016,0.0,-265.41,-217.7,-248.8985,-249.51999999999998,0.0,0.0,0.0,0.0,0.09,1.19,0.5245,0.515,1.07,4.8,3.008125,3.15
02,05,-,-0.11,0.01,-0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.01,-0.0165,0.0,-263.89,-217.81,-247.454,-249.03,0.0,0.0,0.0,0.0,0.12,1.13,0.527,0.53,0.78,4.61,2.75,2.87
02,06,-,-0.13,0.02,-0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.01,-0.017,0.0,-263.38,-216.97,-247.219,-247.36,0.0,0.0,0.0,0.0,0.13,1.18,0.5165,0.55,0.89,4.57,2.555,2.675
02,07,-,0.14,0.53,0.298,0.29,0.15,0.46,0.293125,0.295,0.0,0.23,0.0115,0.0,0.0,1.42,0.141,0.0,0.12,0.46,0.2765,0.28,-262.57,-215.85,-246.1725,-246.335,0.0,0.0,0.0,0.0,0.16,1.18,0.523,0.5,0.69,4.49,2.395,2.4850000000000003
02,08,-,19.3,37.6,28.5195,28.965,23.37,51.13,37.5125,37.47,2.35,17.63,9.32,8.355,20.71,147.03,76.3755,65.27,16.36,22.52,19.1905,19.1,-248.81,-132.56,-198.194,-203.325,18.03,251.68,108.388,100.91,0.14,1.05,0.5215,0.5,0.66,4.73,2.621875,2.5300000000000002
02,09,-,84.41,168.8,133.3355,133.49,117.63,209.15,163.73875,160.20499999999998,18.05,105.71,62.318,57.21,73.7,437.9,259.856,248.85500000000002,57.44,79.78,71.0175,72.72,-10.48,838.59,388.082,368.395,473.91,2193.46,1417.3205,1409.415,0.21,1.29,0.656,0.66,1.95,6.23,4.068125,3.745
02,10,-,175.97,315.54,258.5355,257.66499999999996,231.58,424.26,333.2325,335.26,47.37,212.73,133.344,132.16500000000002,120.87,554.8,349.632,348.70500000000004,98.94,139.49,125.191,124.55,344.98,2070.18,1367.536,1382.865,1682.86,5654.42,3949.0395,3960.13,0.34,1.36,0.8555,0.855,3.35,8.01,5.510625,5.055
02,11,-,270.0,442.44,370.54,372.435,387.78,589.81,481.305625,475.875,78.98,313.06,204.7085,201.43,158.91,640.95,419.0085,414.095,125.57,200.68,165.8325,170.76,897.34,3009.79,2134.34,2220.81,2810.16,8570.04,6280.559,6402.12,0.45,1.67,1.1005,1.105,4.73,9.17,6.786875,6.615
02,12,-,323.57,522.67,437.8595,444.37,467.51,692.13,571.246875,572.77,93.84,364.27,249.364,248.04,166.09,656.03,449.299,443.02,146.35,231.74,188.4955,187.165,1223.0,3411.27,2557.3995,2600.21,3686.0,9673.86,7399.5185,7406.295,0.66,1.92,1.241,1.225,5.94,10.47,8.061875,8.055
02,13,-,333.6,560.56,446.413,444.02,434.29,742.03,577.58125,578.475,116.7,398.0,254.6745,258.28,201.12,689.52,442.69350000000003,444.03,151.94,237.58,191.7395,195.35500000000002,1153.99,3511.07,2596.9325,2605.21,4028.5,10101.75,7432.837,7393.360000000001,0.77,1.9,1.293,1.25,7.09,11.64,9.036875,9.215
02,14,-,305.64,511.49,408.0875,405.55,415.86,672.84,525.63125,516.27,114.28,357.97,229.2185,224.89499999999998,205.33,649.15,419.227,413.605,141.13,211.19,178.869,182.18,1077.98,3069.39,2316.93,2323.7250000000004,3641.41,9143.58,6705.008,6695.535,0.81,1.96,1.306,1.2349999999999999,8.08,12.72,9.86,9.875
02,15,-,251.61,415.64,331.9515,329.68,338.4,547.94,426.778125,426.20500000000004,80.66,279.84,177.8555,172.245,166.89,590.65,378.0885,366.7,126.09,179.03,154.0945,151.34,751.08,2333.04,1741.329,1736.275,2639.64,7261.09,5199.0945,5006.09,0.81,2.01,1.2605,1.1949999999999998,8.37,13.29,10.335625,10.195
02,16,-,172.0,304.0,229.528,221.895,218.82,408.55,292.56625,281.97,56.86,198.07,115.4675,104.535,157.1,559.09,326.7045,304.31,94.91,137.55,114.059,113.33,259.58,1446.31,977.7585,965.935,1345.23,4171.1,2763.978,2640.87,0.69,1.72,1.1485,1.125,8.48,13.68,10.559375,10.5
02,17,-,72.08,122.38,97.3545,92.78,91.1,158.92,114.723125,110.505,11.94,65.41,36.07,34.075,47.52,269.73,148.922,143.26500000000001,52.71,69.08,61.285,62.275,-90.09,361.72,134.5515,123.99000000000001,274.59,818.63,563.495,544.09,0.5,1.51,0.946,0.905,7.99,13.07,10.091875,10.004999999999999
02,18,-,11.26,15.07,13.36,13.58,10.3,14.28,12.588125,12.850000000000001,0.0,0.25,0.076,0.035,0.0,6.77,1.9215,1.21,11.07,14.98,13.28,13.485,-254.97,-222.92,-242.6445,-242.865,0.9,17.76,9.391,9.91,0.3,1.19,0.7464999999999999,0.69,6.36,11.37,8.64125,8.52
02,19,-,0.01,0.48,0.10200000000000001,0.05,0.02,0.07,0.036250000000000004,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.087,0.045,-270.42,-228.05,-252.511,-252.01,0.0,0.0,0.0,0.0,0.22,1.27,0.6485,0.5800000000000001,5.29,9.64,7.3012500000000005,7.24
02,20,-,-0.04,0.24,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.18,0.017,0.0,-271.98,-230.85,-254.1985,-254.15,0.0,0.0,0.0,0.0,0.18,1.14,0.627,0.585,4.41,8.48,6.325,6.380000000000001
02,21,-,-0.02,0.13,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.1,0.008,0.0,-271.86,-230.62,-253.5945,-253.82999999999998,0.0,0.0,0.0,0.0,0.19,1.16,0.6295,0.6,3.72,7.9,5.68375,5.71
02,22,-,-0.01,0.09,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.06,0.0005,0.0,-271.11,-228.59,-253.04500000000002,-252.91500000000002,0.0,0.0,0.0,0.0,0.15,1.26,0.6025,0.56,3.12,7.45,5.155625,5.04
02,23,-,-0.0,0.04,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.01,-0.0045,0.0,-270.81,-229.99,-252.8675,-252.165,0.0,0.0,0.0,0.0,0.15,1.26,0.5725,0.51,2.61,6.9,4.765,4.555
02,24,-,-0.02,0.02,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,-0.0085,0.0,-269.81,-231.19,-252.0315,-251.64999999999998,0.0,0.0,0.0,0.0,0.14,1.32,0.5825,0.56,2.49,6.58,4.3549999999999995,4.115
03,01,-,-0.05,0.01,-0.006500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,-0.015000000000000001,0.0,-270.22,-246.36,-253.7065,-253.12,0.0,0.0,0.0,0.0,0.1,0.97,0.3995,0.36,3.35,6.94,5.16625,5.495
03,02,-,-0.1,0.01,-0.015000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,-0.022,0.0,-270.52,-246.78,-253.0205,-252.64999999999998,0.0,0.0,0.0,0.0,0.07,0.95,0.387,0.385,3.04,6.23,4.76625,5.15
03,03,-,-0.13,0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,-0.026,0.0,-270.21,-247.26,-253.0725,-252.20999999999998,0.0,0.0,0.0,0.0,0.1,0.91,0.394,0.375,2.69,5.73,4.418125,4.835
03,04,-,-0.17,0.02,-0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,-0.029500000000000002,0.0,-269.06,-244.79,-251.715,-250.805,0.0,0.0,0.0,0.0,0.09,0.94,0.3845,0.345,2.43,5.6,4.135625,4.415
03,05,-,-0.2,0.02,-0.025500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.01,-0.0305,0.0,-267.14,-243.53,-250.2345,-249.06,0.0,0.0,0.0,0.0,0.07,0.99,0.3765,0.305,2.32,5.23,3.8874999999999997,4.085
03,06,-,-0.13,0.14,0.0455,0.065,0.01,0.12,0.0625,0.065,0.0,0.0,0.0,0.0,0.0,0.42,0.027,0.0,-0.14,0.13,0.0375,0.06,-265.82,-243.66,-249.7425,-249.675,0.0,0.0,0.0,0.0,0.06,1.03,0.403,0.3,2.08,5.17,3.695625,3.7649999999999997
03,07,-,10.05,19.63,14.3115,14.045,10.97,22.32,16.48125,16.285,0.35,6.92,1.9565,1.625,3.47,53.39,15.9725,13.219999999999999,9.01,14.13,12.3455,12.66,-248.81,-228.19,-236.9795,-237.31,0.64,98.35,35.175,39.055,0.12,1.03,0.4345,0.275,2.1,5.13,3.67125,3.7800000000000002
03,08,-,76.01,128.03,105.674,105.82,83.16,145.29,121.811875,126.145,13.1,65.98,40.8395,40.975,52.78,301.31,175.2815,170.02999999999997,54.83,78.49,64.833,65.065,-68.76,256.46,100.8155,126.47500000000001,266.85,1341.75,929.6145,960.24,0.11,1.0,0.4725,0.4,2.86,6.05,4.683125,4.945
03,09,-,173.2,296.31,250.9215,252.255,192.01,339.7,284.86625,293.07,42.46,171.82,120.798,119.52,106.34,456.3,312.8895,310.29999999999995,103.51,154.5,130.1235,129.56,654.64,1514.37,1085.5865000000001,1137.19,1734.36,4525.43,3297.111,3609.635,0.17,1.26,0.643,0.59,4.42,8.54,6.321875,6.355
03,10,-,291.46,460.26,385.11,392.11,333.72,537.57,449.95,458.65,89.28,292.17,204.3205,211.495,163.92,547.62,384.6345,394.685,141.28,204.29,180.7885,179.82999999999998,1193.6,2659.27,2039.0195,2163.58,3055.01,7630.24,5760.6265,6088.98,0.35,1.49,0.887,0.865,5.94,10.07,7.8025,8.02
03,11,-,373.02,566.63,488.0955,494.63,434.18,667.01,575.174375,595.31,123.29,357.8,270.568,275.405,188.92,565.12,422.9735,426.36,180.43,261.01,217.5285,215.9,1512.07,3286.24,2681.5055,2852.38,4048.77,9503.46,7426.334,8037.174999999999,0.5,1.62,1.082,1.065,6.94,11.85,9.113125,9.425
03,12,-,433.95,625.4,554.1185,570.81,509.16,758.51,652.620625,674.9449999999999,180.04,428.19,317.0985,331.345,255.84,615.08,450.9525,474.115,188.98,288.62,237.018,242.265,1898.44,3692.14,3069.2225,3249.385,4633.74,10342.09,8252.632,8375.35,0.66,1.77,1.211,1.25,7.9,13.23,10.266875,10.555
03,13,-,414.61,647.02,566.8765,580.475,488.27,782.4,665.868125,681.805,164.51,432.2,327.6435,341.14,224.88,607.95,456.1015,476.955,185.1,285.47,239.2325,242.88,2028.63,3662.97,3123.9635,3320.04,4991.8,10559.66,8370.8595,8667.28,0.85,1.99,1.2765,1.19,8.49,14.41,11.254375,11.585
03,14,-,428.66,594.13,526.7275,532.595,501.96,690.99,616.1325,622.9,177.07,397.34,298.616,315.565,255.6,576.21,435.977,463.42499999999995,194.5,267.0,228.11,226.22,1855.05,3475.73,2861.0825,2938.625,4788.7,9795.54,7823.1665,7967.5650000000005,0.97,1.9,1.2835,1.225,8.97,15.66,12.086875,12.425
03,15,-,361.21,538.63,441.7545,444.6,399.15,572.36,509.936875,521.04,124.36,370.01,243.723,245.175,204.7,612.22,403.9995,406.85,141.42,236.86,198.033,202.77499999999998,1406.84,3163.0,2335.9345,2440.34,3757.95,8991.22,6416.7375,6740.139999999999,0.97,1.81,1.298,1.26,9.24,16.12,12.57375,12.690000000000001
03,16,-,266.08,387.29,324.9355,323.435,301.87,430.57,368.7675,373.70500000000004,90.98,256.36,168.2705,165.885,187.71,529.09,350.74,341.43,116.09,191.95,156.666,161.44,861.25,2106.36,1572.7565,1652.665,2053.78,5659.54,3880.8495,4073.2799999999997,0.94,1.62,1.2135,1.17,9.06,16.21,12.64125,12.735
03,17,-,156.66,237.11,192.256,194.63,161.6,237.75,204.51375,207.19,41.56,142.69,88.358,86.685,122.81,434.36,270.721,268.995,87.1,127.52,103.89699999999999,103.07,336.34,1024.79,675.853,682.96,672.54,2069.81,1324.427,1357.855,0.77,1.57,1.0495,1.01,8.8,16.12,12.390625,12.385000000000002
03,18,-,51.94,78.92,64.2845,65.94,47.09,70.56,57.455625,57.74,6.46,35.89,20.3555,21.049999999999997,31.13,187.18,106.5145,113.67,37.66,53.26,43.9305,43.739999999999995,-170.48,11.67,-74.8825,-68.08,55.66,263.04,167.781,187.07999999999998,0.59,1.46,0.895,0.86,7.9,14.89,11.43125,11.545
